scenario,repetition,scheme,test_gain_vs_no_graph,support_recovery,no_relation
R1_one_reliable,0,no_graph,0.0,0.65,1.0
R1_one_reliable,0,equal,0.14764241243308823,0.75,0.0
R1_one_reliable,0,stability_only,0.17916743077323266,0.8,0.0
R1_one_reliable,0,utility_only,0.2525763753196756,1.0,0.0
R1_one_reliable,0,joint,0.2525763753196756,1.0,0.0
R1_one_reliable,1,no_graph,0.0,0.6,1.0
R1_one_reliable,1,equal,0.02486366156412878,0.65,0.0
R1_one_reliable,1,stability_only,0.02486366156412889,0.65,0.0
R1_one_reliable,1,utility_only,0.0,0.6,1.0
R1_one_reliable,1,joint,0.0,0.6,1.0
R1_one_reliable,2,no_graph,0.0,0.8,1.0
R1_one_reliable,2,equal,0.09356027971487801,0.85,0.0
R1_one_reliable,2,stability_only,0.09356027971487801,0.85,0.0
R1_one_reliable,2,utility_only,0.1145165071644515,0.95,0.0
R1_one_reliable,2,joint,0.1145165071644515,0.95,0.0
R1_one_reliable,3,no_graph,0.0,0.8,1.0
R1_one_reliable,3,equal,0.04673736735814149,0.85,0.0
R1_one_reliable,3,stability_only,0.04673736735814149,0.85,0.0
R1_one_reliable,3,utility_only,0.18933050575445942,0.95,0.0
R1_one_reliable,3,joint,0.18933050575445942,0.95,0.0
R1_one_reliable,4,no_graph,0.0,0.7,1.0
R1_one_reliable,4,equal,0.13642685857223508,0.8,0.0
R1_one_reliable,4,stability_only,0.1364268585722352,0.8,0.0
R1_one_reliable,4,utility_only,0.2768017999043798,0.95,0.0
R1_one_reliable,4,joint,0.2768017999043798,0.95,0.0
R1_one_reliable,5,no_graph,0.0,0.65,1.0
R1_one_reliable,5,equal,0.005879001049129251,0.7,0.0
R1_one_reliable,5,stability_only,0.005879001049129251,0.7,0.0
R1_one_reliable,5,utility_only,0.22192406262867215,0.9,0.0
R1_one_reliable,5,joint,0.22192406262867215,0.9,0.0
R1_one_reliable,6,no_graph,0.0,0.75,1.0
R1_one_reliable,6,equal,0.09511767579985742,0.9,0.0
R1_one_reliable,6,stability_only,0.09511767579985736,0.9,0.0
R1_one_reliable,6,utility_only,0.09511767579985742,0.9,0.0
R1_one_reliable,6,joint,0.09511767579985742,0.9,0.0
R1_one_reliable,7,no_graph,0.0,0.65,1.0
R1_one_reliable,7,equal,0.1531892129267624,0.75,0.0
R1_one_reliable,7,stability_only,0.09177684399070501,0.8,0.0
R1_one_reliable,7,utility_only,0.2375054439182276,0.95,0.0
R1_one_reliable,7,joint,0.2375054439182276,0.95,0.0
R1_one_reliable,8,no_graph,0.0,0.55,1.0
R1_one_reliable,8,equal,0.2118990549784534,0.7,0.0
R1_one_reliable,8,stability_only,0.2118990549784534,0.7,0.0
R1_one_reliable,8,utility_only,0.3293239726814163,0.9,0.0
R1_one_reliable,8,joint,0.3293239726814163,0.9,0.0
R1_one_reliable,9,no_graph,0.0,0.8,1.0
R1_one_reliable,9,equal,0.07451863053425284,0.9,0.0
R1_one_reliable,9,stability_only,0.07451863053425284,0.9,0.0
R1_one_reliable,9,utility_only,0.11172520713270631,1.0,0.0
R1_one_reliable,9,joint,0.11172520713270631,1.0,0.0
R1_one_reliable,10,no_graph,0.0,0.75,1.0
R1_one_reliable,10,equal,0.0,0.75,0.0
R1_one_reliable,10,stability_only,0.017778837909428635,0.8,0.0
R1_one_reliable,10,utility_only,0.12079100766012774,0.95,0.0
R1_one_reliable,10,joint,0.12079100766012774,0.95,0.0
R1_one_reliable,11,no_graph,0.0,0.7,1.0
R1_one_reliable,11,equal,0.12683104331279615,0.85,0.0
R1_one_reliable,11,stability_only,0.14276343966167238,0.9,0.0
R1_one_reliable,11,utility_only,0.14276343966167238,0.9,0.0
R1_one_reliable,11,joint,0.14276343966167238,0.9,0.0
R1_one_reliable,12,no_graph,0.0,0.75,1.0
R1_one_reliable,12,equal,5.551115123125783e-17,0.75,0.0
R1_one_reliable,12,stability_only,5.551115123125783e-17,0.75,0.0
R1_one_reliable,12,utility_only,0.0934402800514052,0.85,0.0
R1_one_reliable,12,joint,0.0934402800514052,0.85,0.0
R1_one_reliable,13,no_graph,0.0,0.65,1.0
R1_one_reliable,13,equal,0.2865630854184194,0.85,0.0
R1_one_reliable,13,stability_only,0.28656308541841946,0.85,0.0
R1_one_reliable,13,utility_only,0.4080924197202357,1.0,0.0
R1_one_reliable,13,joint,0.4080924197202357,1.0,0.0
R1_one_reliable,14,no_graph,0.0,0.65,1.0
R1_one_reliable,14,equal,0.1421854832365062,0.7,0.0
R1_one_reliable,14,stability_only,0.29207874865948685,0.75,0.0
R1_one_reliable,14,utility_only,0.31947657571988447,0.9,0.0
R1_one_reliable,14,joint,0.31947657571988447,0.9,0.0
R1_one_reliable,15,no_graph,0.0,0.65,1.0
R1_one_reliable,15,equal,0.03889685669928056,0.7,0.0
R1_one_reliable,15,stability_only,0.047658588091098686,0.75,0.0
R1_one_reliable,15,utility_only,0.23280423568576353,0.9,0.0
R1_one_reliable,15,joint,0.23280423568576353,0.9,0.0
R1_one_reliable,16,no_graph,0.0,0.7,1.0
R1_one_reliable,16,equal,0.08222033345267599,0.85,0.0
R1_one_reliable,16,stability_only,0.08222033345267599,0.85,0.0
R1_one_reliable,16,utility_only,0.14938666388179372,0.95,0.0
R1_one_reliable,16,joint,0.14938666388179372,0.95,0.0
R1_one_reliable,17,no_graph,0.0,0.65,1.0
R1_one_reliable,17,equal,0.11446766351199894,0.75,0.0
R1_one_reliable,17,stability_only,0.16919400423054765,0.85,0.0
R1_one_reliable,17,utility_only,0.28549603091293024,1.0,0.0
R1_one_reliable,17,joint,0.28549603091293024,1.0,0.0
R1_one_reliable,18,no_graph,0.0,0.7,1.0
R1_one_reliable,18,equal,0.029662340902308237,0.85,0.0
R1_one_reliable,18,stability_only,0.029662340902308237,0.85,0.0
R1_one_reliable,18,utility_only,0.17469558884110975,0.95,0.0
R1_one_reliable,18,joint,0.17469558884110975,0.95,0.0
R1_one_reliable,19,no_graph,0.0,0.7,1.0
R1_one_reliable,19,equal,0.1989696010828475,0.9,0.0
R1_one_reliable,19,stability_only,0.1989696010828475,0.9,0.0
R1_one_reliable,19,utility_only,0.28186693932405493,0.95,0.0
R1_one_reliable,19,joint,0.28186693932405493,0.95,0.0
R1_one_reliable,20,no_graph,0.0,0.75,1.0
R1_one_reliable,20,equal,0.09668224757951444,0.85,0.0
R1_one_reliable,20,stability_only,0.09668224757951444,0.85,0.0
R1_one_reliable,20,utility_only,0.13069564409869175,0.95,0.0
R1_one_reliable,20,joint,0.13069564409869175,0.95,0.0
R1_one_reliable,21,no_graph,0.0,0.7,1.0
R1_one_reliable,21,equal,0.06972110978985813,0.75,0.0
R1_one_reliable,21,stability_only,0.06912190319840639,0.8,0.0
R1_one_reliable,21,utility_only,0.0664940646549877,0.85,0.0
R1_one_reliable,21,joint,0.11538490738804841,0.9,0.0
R1_one_reliable,22,no_graph,0.0,0.6,1.0
R1_one_reliable,22,equal,0.12907855594715634,0.75,0.0
R1_one_reliable,22,stability_only,0.10280416798275721,0.8,0.0
R1_one_reliable,22,utility_only,0.26570790467604444,0.95,0.0
R1_one_reliable,22,joint,0.26570790467604444,0.95,0.0
R1_one_reliable,23,no_graph,0.0,0.7,1.0
R1_one_reliable,23,equal,0.03147458231406203,0.8,0.0
