scenario,scheme,mean_test_gain,sd_test_gain,mean_support_recovery,sd_support_recovery,no_relation_rate
R1_one_reliable,equal,0.11504094229515083,0.0794870135979282,0.784,0.0688387645894672,0.0
R1_one_reliable,joint,0.23755530015716764,0.11726656841332538,0.929,0.07077558670522897,0.02
R1_one_reliable,no_graph,0.0,0.0,0.669,0.06842991349712847,1.0
R1_one_reliable,stability_only,0.1296881054760051,0.0868789632246103,0.804,0.06839262402049041,0.0
R1_one_reliable,utility_only,0.23454985232365128,0.11519976261181013,0.9259999999999999,0.07159979477795236,0.02
R2_complementary,equal,0.1152887971154025,0.08169135155836553,0.784,0.07174216873994126,0.0
R2_complementary,joint,0.14772032294642867,0.09595045202169779,0.815,0.0757614408414158,0.0
R2_complementary,no_graph,0.0,0.0,0.659,0.07191973984652499,1.0
R2_complementary,stability_only,0.1163864090765484,0.08224097829859929,0.789,0.0751121610306472,0.0
R2_complementary,utility_only,0.15295514644872624,0.10264531618279063,0.8170000000000001,0.07600349078986371,0.0
R3_adversarial,equal,0.023376057451579182,0.05974789629626103,0.691,0.059496184065596584,0.0
R3_adversarial,joint,0.066278504774683,0.06368730316027903,0.727,0.0701383472510013,0.08
R3_adversarial,no_graph,0.0,0.0,0.6659999999999999,0.05841442371503105,1.0
R3_adversarial,stability_only,0.031019531187209414,0.061000779725995984,0.698,0.06223720260226277,0.0
R3_adversarial,utility_only,0.06686325649503433,0.06392927675812922,0.727,0.0701383472510013,0.08
R4_all_harmful,equal,-0.025090759863712706,0.04104583521627306,0.622,0.0648074069840786,0.0
R4_all_harmful,joint,-0.01347781722553322,0.035801892346429026,0.634,0.06809357307321703,0.6
R4_all_harmful,no_graph,0.0,0.0,0.65,0.06624013211068358,1.0
R4_all_harmful,stability_only,-0.023673716713620015,0.03994845232292099,0.622,0.0648074069840786,0.0
R4_all_harmful,utility_only,-0.013477817225533215,0.035801892346429026,0.634,0.06809357307321703,0.6
R5_unstable_lure,equal,0.09714553908973658,0.0712175057188017,0.7440000000000001,0.08369039151929605,0.0
R5_unstable_lure,joint,0.11332094916945033,0.08285976392198509,0.757,0.08018473568413563,0.02
R5_unstable_lure,no_graph,0.0,0.0,0.655,0.08466621136521212,1.0
R5_unstable_lure,stability_only,0.10397346311388658,0.07961490343526703,0.7490000000000001,0.08112097290403981,0.0
R5_unstable_lure,utility_only,0.11266534015897743,0.0819519716111818,0.757,0.07954590511401678,0.02
