Cancer,External cohort,Role,Method,n,Events,Matched Top-20 genes,C-index,CI low,CI high,Valid bootstrap replicates
LUAD,GSE31210,Primary,MKG,226,35,14,0.6480886604561517,0.5443661796903293,0.7469169297199987,1000
LUAD,GSE31210,Primary,Uni-Cox,226,35,17,0.6676839061998072,0.5827765033563642,0.7517863506230129,1000
LUAD,GSE31210,Primary,Cox-Lasso,226,35,17,0.5971731448763251,0.5149937632905757,0.6915319629869385,1000
LUAD,GSE31210,Primary,Cox-EN,226,35,18,0.596370061034372,0.505839924987977,0.6823323263538482,1000
LUAD,GSE31210,Primary,RSF,226,35,18,0.46016704143912623,0.3513987523879943,0.560402140467697,1000
LUAD,GSE31210,Primary,DeepSurv,226,35,16,0.5170253774494057,0.41789540760844074,0.6134471703404609,1000
LIHC,GSE14520,Primary,MKG,221,85,16,0.6584995663486557,0.5988023830580129,0.7167617542473083,1000
LIHC,GSE14520,Primary,Uni-Cox,221,85,18,0.6086296617519514,0.5426967523873116,0.6711795179469634,1000
LIHC,GSE14520,Primary,Cox-Lasso,221,85,10,0.4827984966753397,0.42523613022246237,0.5436968590523862,1000
LIHC,GSE14520,Primary,Cox-EN,221,85,10,0.47940156114483956,0.41832944222627777,0.5446901211905463,1000
LIHC,GSE14520,Primary,RSF,221,85,13,0.5042642382191385,0.4417333522737372,0.5673511025101379,1000
LIHC,GSE14520,Primary,DeepSurv,221,85,13,0.5830442324371206,0.5245764168777859,0.6386881673343029,1000
KIRC,GSE29609,Stress test,MKG,39,17,18,0.2823275862068966,0.16664870689655173,0.4065161298523019,1000
KIRC,GSE29609,Stress test,Uni-Cox,39,17,14,0.3728448275862069,0.25721275682598504,0.4974719619072411,1000
KIRC,GSE29609,Stress test,Cox-Lasso,39,17,17,0.5323275862068966,0.3725143834024253,0.6820871724107958,1000
KIRC,GSE29609,Stress test,Cox-EN,39,17,17,0.5883620689655172,0.41225405804230203,0.7528521639325906,1000
KIRC,GSE29609,Stress test,RSF,39,17,17,0.375,0.2315885202131989,0.5321760168302946,1000
KIRC,GSE29609,Stress test,DeepSurv,39,17,14,0.4849137931034483,0.31496328315790373,0.6539390890799341,1000
COAD,GSE39582,Primary,MKG,573,190,17,0.5156072216814948,0.4681770321974161,0.5612461400113473,1000
COAD,GSE39582,Primary,Uni-Cox,573,190,18,0.5193633734080908,0.47670314468648495,0.5635935659815238,1000
COAD,GSE39582,Primary,Cox-Lasso,573,190,17,0.4985674530823749,0.4557741606647338,0.5433719696206913,1000
COAD,GSE39582,Primary,Cox-EN,573,190,17,0.5022002275624768,0.4575829114281463,0.5449447554499398,1000
COAD,GSE39582,Primary,RSF,573,190,19,0.5031461197855978,0.4584326617344362,0.5493761281027731,1000
COAD,GSE39582,Primary,DeepSurv,573,190,17,0.5,0.5,0.5,1000
STAD,GSE84437,Primary,MKG,431,207,19,0.5470822591985001,0.5089535548122521,0.5848847813496011,1000
STAD,GSE84437,Primary,Uni-Cox,431,207,19,0.5519881259276619,0.511225205336949,0.5879765839950182,1000
STAD,GSE84437,Primary,Cox-Lasso,431,207,19,0.4688696195609718,0.4258656742999251,0.5112828526446932,1000
STAD,GSE84437,Primary,Cox-EN,431,207,19,0.48764940239043825,0.44808199375064733,0.5294140951296902,1000
STAD,GSE84437,Primary,RSF,431,207,19,0.5380282790406999,0.4939407481788548,0.5784306213605231,1000
STAD,GSE84437,Primary,DeepSurv,431,207,20,0.5267557222092024,0.4871258192199168,0.565604357233012,1000
HNSC,GSE65858,Primary,MKG,270,94,20,0.5390596302191747,0.47002569889484386,0.6060563532239459,1000
HNSC,GSE65858,Primary,Uni-Cox,270,94,19,0.5265091220766499,0.45717031424527477,0.5879936974908835,1000
HNSC,GSE65858,Primary,Cox-Lasso,270,94,16,0.5322639892249296,0.4642489023786243,0.5978255719287283,1000
HNSC,GSE65858,Primary,Cox-EN,270,94,17,0.5003061099546957,0.4327787725002208,0.5653426095419758,1000
HNSC,GSE65858,Primary,RSF,270,94,16,0.4724501040773846,0.40354999589433355,0.536732811926974,1000
HNSC,GSE65858,Primary,DeepSurv,270,94,13,0.5,0.5,0.5,1000

