scenario,scheme,reference,n,mean_difference,bootstrap_ci_low,bootstrap_ci_high,bootstrap_repetitions
R1_one_reliable,joint_m005,joint_m0,50,0.0006841234736875612,-0.002183951911806439,0.0034746812087669697,50000
R1_one_reliable,joint_m010,joint_m0,50,0.0005879600787528138,-0.003751995317537967,0.0047937132392645845,50000
R1_one_reliable,joint_m020,joint_m0,50,6.59352057565088e-05,-0.0046702955311831475,0.004703429074133877,50000
R2_complementary,joint_m005,joint_m0,50,-0.0006698882999178223,-0.0026394170552916595,0.0011523870711149908,50000
R2_complementary,joint_m010,joint_m0,50,-0.0008043320755480332,-0.003333744963180889,0.0014917609835073103,50000
R2_complementary,joint_m020,joint_m0,50,-0.0024876768305553344,-0.006948208819356069,0.0008812129310060247,50000
R3_adversarial,joint_m005,joint_m0,50,-0.00028958220097706765,-0.0019654629613933584,0.0012749998026071662,50000
R3_adversarial,joint_m010,joint_m0,50,-0.0008447400966498875,-0.002645641210431404,0.0008777149595404743,50000
R3_adversarial,joint_m020,joint_m0,50,-0.005025246902023043,-0.011375805671589674,0.0007165727232808802,50000
R4_all_harmful,joint_m005,joint_m0,50,-0.00013062290497527053,-0.002217428263325165,0.0022871641382814323,50000
R4_all_harmful,joint_m010,joint_m0,50,0.0003539068026513759,-0.0017792002363083935,0.0027902782166052582,50000
R4_all_harmful,joint_m020,joint_m0,50,-0.0018310798725780775,-0.006113322888019328,0.0021928775534159704,50000
R5_unstable_lure,joint_m005,joint_m0,50,-0.0021567219180284036,-0.005030576488300551,-0.00015150344517570025,50000
R5_unstable_lure,joint_m010,joint_m0,50,-0.0005703359117073958,-0.0046859980492913655,0.0039504366745790435,50000
R5_unstable_lure,joint_m020,joint_m0,50,-0.004541959714298771,-0.008833680113681816,-0.0006465284478047543,50000
