scenario,repetition,scheme,test_cindex,test_cindex_gain,support_recovery,no_relation,censoring_fraction
R1_one_reliable,0,joint_m0,0.5907065563335455,0.02291534054742206,0.8,0.0,0.4111111111111111
R1_one_reliable,0,joint_m005,0.5907065563335455,0.02291534054742206,0.8,0.0,0.4111111111111111
R1_one_reliable,0,joint_m010,0.5805219605346913,0.012730744748567835,0.85,0.0,0.4111111111111111
R1_one_reliable,0,joint_m020,0.5805219605346913,0.012730744748567835,0.85,0.0,0.4111111111111111
R1_one_reliable,1,joint_m0,0.6368271954674221,0.04759206798866855,0.55,0.0,0.4194444444444444
R1_one_reliable,1,joint_m005,0.6368271954674221,0.04759206798866855,0.55,0.0,0.4194444444444444
R1_one_reliable,1,joint_m010,0.6368271954674221,0.04759206798866855,0.55,0.0,0.4194444444444444
R1_one_reliable,1,joint_m020,0.6368271954674221,0.04759206798866855,0.55,0.0,0.4194444444444444
R1_one_reliable,2,joint_m0,0.4795031055900621,0.013664596273291918,0.7,0.0,0.37777777777777777
R1_one_reliable,2,joint_m005,0.4795031055900621,0.013664596273291918,0.7,0.0,0.37777777777777777
R1_one_reliable,2,joint_m010,0.4795031055900621,0.013664596273291918,0.7,0.0,0.37777777777777777
R1_one_reliable,2,joint_m020,0.4795031055900621,0.013664596273291918,0.7,0.0,0.37777777777777777
R1_one_reliable,3,joint_m0,0.6393220338983051,-0.006101694915254252,0.75,0.0,0.3916666666666667
R1_one_reliable,3,joint_m005,0.6393220338983051,-0.006101694915254252,0.75,0.0,0.3916666666666667
R1_one_reliable,3,joint_m010,0.6393220338983051,-0.006101694915254252,0.75,0.0,0.3916666666666667
R1_one_reliable,3,joint_m020,0.6338983050847458,-0.0115254237288136,0.8,0.0,0.3916666666666667
R1_one_reliable,4,joint_m0,0.5905511811023622,0.008998875140607376,0.5,0.0,0.4027777777777778
R1_one_reliable,4,joint_m005,0.5905511811023622,0.008998875140607376,0.5,0.0,0.4027777777777778
R1_one_reliable,4,joint_m010,0.5905511811023622,0.008998875140607376,0.5,0.0,0.4027777777777778
R1_one_reliable,4,joint_m020,0.5905511811023622,0.008998875140607376,0.5,0.0,0.4027777777777778
R1_one_reliable,5,joint_m0,0.6204472843450479,0.08817891373801912,0.6,0.0,0.4194444444444444
R1_one_reliable,5,joint_m005,0.6204472843450479,0.08817891373801912,0.6,0.0,0.4194444444444444
R1_one_reliable,5,joint_m010,0.6217252396166134,0.0894568690095846,0.65,0.0,0.4194444444444444
R1_one_reliable,5,joint_m020,0.6217252396166134,0.0894568690095846,0.65,0.0,0.4194444444444444
R1_one_reliable,6,joint_m0,0.5967413441955194,0.010183299389002087,0.5,0.0,0.4277777777777778
R1_one_reliable,6,joint_m005,0.5967413441955194,0.010183299389002087,0.5,0.0,0.4277777777777778
