scenario,scheme,n,mean_test_cindex,mean_test_gain,sd_test_gain,mean_support_recovery,sd_support_recovery,no_relation_rate,mean_censoring_fraction,test_gain_ci_low,test_gain_ci_high
R1_one_reliable,joint_m0,50,0.605702444750504,0.028537498375587243,0.03996575961504248,0.621,0.17816811597763615,0.06,0.40794444444444444,0.017459554997072586,0.0396154417541019
R1_one_reliable,joint_m005,50,0.6063865682241917,0.029221621849274806,0.04003680662354886,0.616,0.18445728447507398,0.1,0.40794444444444444,0.018123985244732983,0.040319258453816634
R1_one_reliable,joint_m010,50,0.6062904048292569,0.029125458454340062,0.039488626058845365,0.61,0.1932535608352669,0.12,0.40794444444444444,0.01817976975008791,0.04007114715859221
R1_one_reliable,joint_m020,50,0.6057683799562605,0.028603433581343752,0.039460179164542586,0.609,0.20346237680591023,0.16,0.40794444444444444,0.017665629953902758,0.039541237208784746
R2_complementary,joint_m0,50,0.5946547878415462,0.024011706341029372,0.03320933165426734,0.54,0.1059456926727952,0.04,0.40577777777777774,0.014806549245358415,0.03321686343670033
R2_complementary,joint_m005,50,0.5939848995416284,0.023341818041111552,0.03486799832225539,0.532,0.11595213650116014,0.1,0.40577777777777774,0.013676902001564916,0.033006734080658184
R2_complementary,joint_m010,50,0.5938504557659982,0.02320737426548134,0.03625629384986886,0.532,0.11813171479673158,0.12,0.40577777777777774,0.013157642338643062,0.03325710619231962
R2_complementary,joint_m020,50,0.5921671110109908,0.021524029510474038,0.03219659100864912,0.523,0.12088533950038129,0.18,0.40577777777777774,0.012599589799818237,0.03044846922112984
R3_adversarial,joint_m0,50,0.5881703387710613,0.01689683674431353,0.02700549360607942,0.436,0.1129565565758331,0.14,0.4121666666666667,0.009411295822319237,0.02438237766630782
R3_adversarial,joint_m005,50,0.5878807565700843,0.01660725454333646,0.02652765561081584,0.42700000000000005,0.11482462226173892,0.2,0.4121666666666667,0.009254163556151877,0.023960345530521045
R3_adversarial,joint_m010,50,0.5873255986744115,0.01605209664766364,0.026822865736317227,0.426,0.11394592344348158,0.22,0.4121666666666667,0.008617177588485205,0.023487015706842074
R3_adversarial,joint_m020,50,0.5831450918690383,0.011871589842290486,0.0232703562578319,0.42100000000000004,0.12416660959684576,0.46,0.4121666666666667,0.005421376171758904,0.018321803512822067
R4_all_harmful,joint_m0,50,0.5735986217778897,-0.005445148495660649,0.02129286410078994,0.335,0.07905694150420949,0.24,0.41533333333333333,-0.011347229305509098,0.0004569323141877992
R4_all_harmful,joint_m005,50,0.5734679988729143,-0.00557577140063592,0.020983164151342416,0.341,0.07998086505852635,0.32,0.41533333333333333,-0.011392007764204478,0.00024046496293263914
R4_all_harmful,joint_m010,50,0.573952528580541,-0.005091241693009273,0.02030633706552813,0.344,0.08307852199170693,0.38,0.41533333333333333,-0.010719871159926387,0.00053738777390784
R4_all_harmful,joint_m020,50,0.5717675419053115,-0.007276228368238726,0.02105401959026218,0.35200000000000004,0.09089127840335354,0.56,0.41533333333333333,-0.013112104857454177,-0.0014403518790232755
R5_unstable_lure,joint_m0,50,0.6024847045915355,0.021933459936363846,0.02642920416486876,0.511,0.11921939987318526,0.1,0.41611111111111115,0.014607658297717608,0.029259261575010083
R5_unstable_lure,joint_m005,50,0.6003279826735071,0.01977673801833544,0.026003913492574564,0.506,0.12232442644918655,0.12,0.41611111111111115,0.01256882093968421,0.02698465509698667
R5_unstable_lure,joint_m010,50,0.6019143686798281,0.02136312402465645,0.027995438995083884,0.506,0.11894090455142083,0.14,0.41611111111111115,0.01360318424041495,0.029123063808897953
R5_unstable_lure,joint_m020,50,0.5979427448772366,0.017391500222065072,0.027009950355198088,0.49200000000000005,0.12386628735397351,0.3,0.41611111111111115,0.009904723952241425,0.02487827649188872
