Cancer,Cohort,Method,n,Events,Median OS days,Matched genes,C-index,Bootstrap low,Bootstrap high,Valid resamples
LUAD,GSE50081,MKG,181,75,1738.59,14,0.6000878927708196,0.5334735020735304,0.6738919745608547,1000
LUAD,GSE50081,Uni-Cox,181,75,1738.59,17,0.5765765765765766,0.5112737698773121,0.6440108107055202,1000
LUAD,GSE50081,RSF ranking,181,75,1738.59,18,0.510547132498352,0.44449684112151155,0.5813649408691013,1000
LUAD,GSE50081,DeepSurv attribution,181,75,1738.59,16,0.518457481872116,0.44497785380422056,0.5944122758730778,1000
LUAD,GSE50081,CV-Cox-Lasso,181,75,1738.59,17,0.5511975390024171,0.48741979454903045,0.6153946074848584,1000
LUAD,GSE50081,CV-Cox-EN,181,75,1738.59,17,0.5738299274884641,0.5074791223816894,0.6436884113330092,1000
LIHC,GSE76427,MKG,115,23,423.69,20,0.4879825200291333,0.3156140011228777,0.634535212501593,1000
LIHC,GSE76427,Uni-Cox,115,23,423.69,20,0.4668608885651857,0.31760005365552296,0.6113844774239477,1000
LIHC,GSE76427,RSF ranking,115,23,423.69,20,0.45229424617625635,0.3399588428313651,0.5626273425825418,1000
LIHC,GSE76427,DeepSurv attribution,115,23,423.69,19,0.3991260014566642,0.2600046589993018,0.5563732518244539,1000
LIHC,GSE76427,CV-Cox-Lasso,115,23,423.69,20,0.482884195193008,0.3262274821952241,0.6214251961098124,1000
LIHC,GSE76427,CV-Cox-EN,115,23,423.69,20,0.4785142024763292,0.33263330752869585,0.6119474770667297,1000
