Cancer,Method,n_subsamples,n_pairs,normalized_RBO20,Jaccard,Route weights,QP weights,QP source,Stability estimand,Sampling
LUAD,MKG,30,435,0.3134035219745406,0.2116623685452697,"{""cnv"": 1.0, ""coexpr"": 0.0, ""meth"": 0.0}","[0.4953797193873208, 0.5046202806126792]",deterministically recomputed from full development cohort,conditional fused ranking after route/hyperparameter lock,30 x 80% without replacement
LUAD,Uni-Cox,30,435,0.3814758239119761,0.2618422642250109,"{""cnv"": 1.0, ""coexpr"": 0.0, ""meth"": 0.0}","[0.4953797193873208, 0.5046202806126792]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
LUAD,Cox-Lasso,30,435,0.1609981705894679,0.1401768029544963,"{""cnv"": 1.0, ""coexpr"": 0.0, ""meth"": 0.0}","[0.4953797193873208, 0.5046202806126792]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
LUAD,Cox-EN,30,435,0.2246760512530898,0.1903720130139221,"{""cnv"": 1.0, ""coexpr"": 0.0, ""meth"": 0.0}","[0.4953797193873208, 0.5046202806126792]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
LUAD,CGBoost,30,435,0.2207912476528782,0.1865854856033141,"{""cnv"": 1.0, ""coexpr"": 0.0, ""meth"": 0.0}","[0.4953797193873208, 0.5046202806126792]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
LUAD,RSF,30,435,0.1003659879489567,0.0908542092540825,"{""cnv"": 1.0, ""coexpr"": 0.0, ""meth"": 0.0}","[0.4953797193873208, 0.5046202806126792]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
LIHC,MKG,30,435,0.2332206681474401,0.1967631157396294,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}","[0.49499187722884036, 0.5050081227711596]",deterministically recomputed from full development cohort,conditional fused ranking after route/hyperparameter lock,30 x 80% without replacement
LIHC,Uni-Cox,30,435,0.2221085509999356,0.2180629402884644,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}","[0.49499187722884036, 0.5050081227711596]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
LIHC,Cox-Lasso,30,435,0.123745439438923,0.1138182487872718,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}","[0.49499187722884036, 0.5050081227711596]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
LIHC,Cox-EN,30,435,0.1646036909962888,0.1521537505770072,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}","[0.49499187722884036, 0.5050081227711596]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
LIHC,CGBoost,30,435,0.1860060464992555,0.1589230457479142,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}","[0.49499187722884036, 0.5050081227711596]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
LIHC,RSF,30,435,0.1100334403635268,0.0901985832860179,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}","[0.49499187722884036, 0.5050081227711596]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
KIRC,MKG,30,435,0.2491742118597495,0.1836235131361573,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}","[0.49130597461124975, 0.5086940253887503]",deterministically recomputed from full development cohort,conditional fused ranking after route/hyperparameter lock,30 x 80% without replacement
KIRC,Uni-Cox,30,435,0.3339724343117922,0.2921734631591777,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}","[0.49130597461124975, 0.5086940253887503]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
KIRC,Cox-Lasso,30,435,0.1830722657461378,0.1266479485501653,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}","[0.49130597461124975, 0.5086940253887503]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
KIRC,Cox-EN,30,435,0.2887989799363913,0.1797940810074857,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}","[0.49130597461124975, 0.5086940253887503]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
KIRC,CGBoost,30,435,0.2611959233186883,0.2044067474633759,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}","[0.49130597461124975, 0.5086940253887503]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
KIRC,RSF,30,435,0.0754077658009946,0.0832970439621448,"{""cnv"": 0.0, ""coexpr"": 1.0, ""meth"": 0.0}","[0.49130597461124975, 0.5086940253887503]",deterministically recomputed from full development cohort,method ranking under locked hyperparameters,30 x 80% without replacement
