Cancer,Repeat,Seed,Method,Status,Error,Subsample n,Event n,Top20 indices,Top20 genes,Elapsed sec
COAD,1,42,MKG,ok,,216,54,5234;3126;6678;2885;4939;4067;5649;4399;1905;5643;7113;3220;961;571;1372;3347;4927;6028;4097;6441,PANX2;GPR156;SLC46A2;GABRD;NKAIN4;KNDC1;PPFIA4;LY6K;CYP2E1;PPARGC1A;TAS2R20;GRM6;C5orf46;ATP6V1B1;CDH8;HEYL;NHLRC4;RFPL4B;KRT4;SGCG,61.695584535598755
COAD,1,42,Uni-Cox,ok,,216,54,1221;7201;6678;4939;4493;3126;354;7757;1767;1887;3933;1368;1372;7068;4399;4974;6701;5234;3990;6791,CCKBR;TFAP2B;SLC46A2;NKAIN4;MBL1P;GPR156;ANKRD24;VAX2;CRHR1;CYP19A1;KHDC1L;CDH4;CDH8;SYNPO2L;LY6K;NOG;SLC6A1;PANX2;KIF7;SNCB,0.05759382247924805
COAD,1,42,Cox-Lasso,ok,,216,54,1417;1278;4927;783;6261;6465;1444;7268;3290;525;2076;5122;6729;2260;4067;918;6508;2242;4642;490,CECR6;CD1B;NHLRC4;C12orf56;SACS;SH3GL2;CERK;TLE6;HAR1A;ASPHD1;DMC1;OC90;SLC8A3;EFR3B;KNDC1;C2orf16;SIM2;EEPD1;MPL;ARMC3,0.633636474609375
COAD,1,42,Cox-EN,ok,,216,54,783;1417;1278;3290;6261;525;4927;2059;1444;490;1768;4409;5969;4067;3122;7834;3126;2260;4493;5589,C12orf56;CECR6;CD1B;HAR1A;SACS;ASPHD1;NHLRC4;DLGAP1;CERK;ARMC3;CRHR2;LYPD2;RBM24;KNDC1;GPR150;WFDC2;GPR156;EFR3B;MBL1P;PNLDC1,1.0348334312438965
COAD,1,42,CGBoost,ok,,216,54,355;3291;1279;4940;8188;6702;4068;6679;5644;3127;3574;5875;4098;4162;1418;6771;4494;2960;6262;1369,ANKRD26;HAR1B;CD1C;NKAPL;ZNF93;SLC6A10P;KNG1;SLC46A3;PPARGC1B;GPR157;IDH2;QRFPR;KRT40;LCNL1;CECR7;SMCHD1;MBOAT1;GDF5;SALL1;CDH5,19.829435348510742
COAD,1,42,RSF,ok,,216,54,7113;354;1905;1768;5874;209;4493;6951;2697;1368;4161;4067;6642;525;6163;6712;2263;3675;407;6234,TAS2R20;ANKRD24;CYP2E1;CRHR2;QRFP;AGAP7;MBL1P;SSPO;FGF12;CDH4;LCN8;KNDC1;SLC30A3;ASPHD1;RPH3A;SLC6A3;EGFL7;IL20RB;APC2;RYR2,3.8077609539031982
COAD,2,43,MKG,ok,,216,56,4874;3896;3126;4939;7637;5234;4067;886;4301;407;5752;354;3973;2288;5649;5643;7031;4399;3400;2154,NECAB2;KCNMB3;GPR156;NKAIN4;TUBA8;PANX2;KNDC1;C1orf61;LPPR3;APC2;PRR4;ANKRD24;KIF13B;ELFN1;PPFIA4;PPARGC1A;SULT1B1;LY6K;HIST1H4H;DPY19L2P4,63.43130683898926
COAD,2,43,Uni-Cox,ok,,216,56,6642;1767;4493;4824;7201;4939;108;4874;6660;3896;407;7196;6712;1577;3427;3126;4301;571;1221;7637,SLC30A3;CRHR1;MBL1P;NAT1;TFAP2B;NKAIN4;ACTN2;NECAB2;SLC38A8;KCNMB3;APC2;TEX15;SLC6A3;CLEC18C;HMX2;GPR156;LPPR3;ATP6V1B1;CCKBR;TUBA8,0.04352879524230957
COAD,2,43,Cox-Lasso,ok,,216,56,1277;4493;6729;7916;3004;5065;5688;5589;4067;7240;5122;6853;1738;783;4927;4786;5043;1153;6701;5,CD1A;MBL1P;SLC8A3;ZDHHC19;GJA3;NRXN3;PRCD;PNLDC1;KNDC1;THRB;OC90;SOX7;CPNE4;C12orf56;NHLRC4;MYO7A;NR5A2;CCDC108;SLC6A1;AADAC,0.5009195804595947
COAD,2,43,Cox-EN,ok,,216,56,1277;4493;7916;783;5589;3004;7921;5122;5043;5688;490;7211;6712;5149;4927;5328;935;6729;3427;4067,CD1A;MBL1P;ZDHHC19;C12orf56;PNLDC1;GJA3;ZDHHC8;OC90;NR5A2;PRCD;ARMC3;TFR2;SLC6A3;ONECUT3;NHLRC4;PCP4L1;C3orf14;SLC8A3;HMX2;KNDC1,0.739943265914917
