Cancer,Repeat,Seed,Method,Status,Error,Subsample n,Event n,Top20 indices,Top20 genes,Elapsed sec
HNSC,1,42,MKG,ok,,410,176,8200;1431;2275;2060;4543;2708;1284;2392;3640;4590;4258;1077;3754;7205;6949;4205;4321;2446;4728;3166,ZNF763;CELSR3;EFNB2;DKK1;MASP1;FGD3;CD19;EPHX3;IGJ;MEIS1;LHX1;CALML5;IRF4;TCP11;SPOCK1;LCNL1;LMX1B;EVPLL;MS4A1;GPR55,111.3030960559845
HNSC,1,42,Uni-Cox,ok,,410,176,2708;8200;1431;2275;5323;7945;6291;4728;2684;3980;2060;4590;1885;8115;2392;7663;1284;2528;1077;4067,FGD3;ZNF763;CELSR3;EFNB2;PARP15;ZAP70;S1PR4;MS4A1;FCRL1;KIAA1683;DKK1;MEIS1;CXCR5;ZNF541;EPHX3;TTC24;CD19;FAM162B;CALML5;KLK3,0.1613914966583252
HNSC,1,42,Cox-Lasso,ok,,410,176,3152;95;1608;4502;6940;306;3232;7600;5820;7128;7823;5904;7783;3217;18;5670;1794;4692;1810;7989,GPR176;ACSM3;CLNK;MANEA;SPINK6;ALS2CR12;GRM2;TRIML1;PRSS35;SYT14;VIP;PTPRZ1;USH2A;GRID2IP;ABCA4;PON1;CRYBB1;MOGAT2;CSGALNACT1;ZFP57,2.344202995300293
HNSC,1,42,Cox-EN,ok,,410,176,3152;7823;5820;7128;1372;7641;306;3232;5268;95;7600;6940;7656;2256;1431;2902;1608;7783;4521;5358,GPR176;VIP;PRSS35;SYT14;CDH19;TSPAN19;ALS2CR12;GRM2;P2RX6;ACSM3;TRIML1;SPINK6;TTBK1;EDN3;CELSR3;GABRB1;CLNK;USH2A;MAPK11;PCDHA6,4.956227779388428
HNSC,1,42,CGBoost,ok,,410,176,1432;6941;2709;4068;3721;5324;6938;3981;3205;7777;4259;3474;5339;2276;4651;189;1040;8215;4854;4120,CEMP1;SPINK7;FGD5;KLK4;INA;PARP3;SPINK2;KIAA1755;GRB7;UPK3A;LHX2;HOXC10;PAX9;EFNB3;MKX;ADRA1A;CACNA1B;ZNF80;MYO3A;KRT4,45.99781847000122
HNSC,1,42,RSF,ok,,410,176,2843;7309;2060;2275;2592;4258;8121;4067;1431;5944;4543;1578;7128;1077;3473;188;7562;8200;2392;1643,FRMD5;TIMP4;DKK1;EFNB2;FAM65C;LHX1;ZNF554;KLK3;CELSR3;RAB37;MASP1;CLEC17A;SYT14;CALML5;HOXB9;ADPRHL1;TRIB3;ZNF763;EPHX3;CNR2,14.52939486503601
HNSC,2,43,MKG,ok,,410,182,4543;5276;2060;2843;1431;1069;6949;4321;3640;682;7044;2822;2801;2275;1335;7309;1284;3874;7601;1152,MASP1;P4HA1;DKK1;FRMD5;CELSR3;CALCB;SPOCK1;LMX1B;IGJ;BLK;STC2;FOXL2;FOXA2;EFNB2;CD79A;TIMP4;CD19;KCNG1;TRIML2;CCBE1,102.72917127609253
HNSC,2,43,Uni-Cox,ok,,410,182,5812;6291;2060;7309;2801;2708;188;919;5276;1085;5423;2843;6666;1077;7945;4321;4543;3204;8200;4728,PRSS12;S1PR4;DKK1;TIMP4;FOXA2;FGD3;ADPRHL1;C2orf70;P4HA1;CAMK2N1;PDGFA;FRMD5;SLC26A9;CALML5;ZAP70;LMX1B;MASP1;GRB14;ZNF763;MS4A1,0.168975830078125
HNSC,2,43,Cox-Lasso,ok,,410,182,95;5820;3204;1372;1431;7128;467;495;7717;4205;82;7183;7601;2072;5461;931;3201;3411;5383;6940,ACSM3;PRSS35;GRB14;CDH19;CELSR3;SYT14;ARHGEF4;ART5;TYMS;LCNL1;ACP6;TBX5;TRIML2;DLGAP2;PEX5L;C3orf35;GRAPL;HIST1H4E;PCDHGB4;SPINK6,2.46563982963562
HNSC,2,43,Cox-EN,ok,,410,182,1372;5820;5383;5461;931;6940;495;7128;3204;95;1244;1431;3201;6089;7717;1769;3152;7601;82;3472,CDH19;PRSS35;PCDHGB4;PEX5L;C3orf35;SPINK6;ART5;SYT14;GRB14;ACSM3;CCL27;CELSR3;GRAPL;RGPD8;TYMS;CREB3L3;GPR176;TRIML2;ACP6;HOXB8,4.074122428894043
