Cancer,Repeat,Seed,Method,Status,Error,Subsample n,Event n,Top20 indices,Top20 genes,Elapsed sec
KIRC,1,42,MKG,ok,,248,85,2858;257;6595;364;4740;319;1521;5288;5560;2169;7573;2195;6645;3506;1971;4370;1974;6648;5642;1875,FOXA1;AKNAD1;SHOX2;ANKRD30B;MPV17L;AMH;CHAC1;OTX1;PITX1;DNASE1L3;TNNT1;DONSON;SLC10A2;HLF;CYP3A4;LPPR3;CYP3A7;SLC10A6;PLG;CST2,81.83917212486267
KIRC,1,42,Uni-Cox,ok,,248,85,6957;3452;6595;8058;3506;4658;5921;1409;6450;6315;2381;2134;5647;4053;1491;3832;1751;6645;6998;5288,SORBS2;HHIPL2;SHOX2;ZIC2;HLF;MIA2;PTPRB;CDCA3;SDPR;RTL1;EMX2OS;DMGDH;PLK1;KIF18B;CENPA;ISL2;COL7A1;SLC10A2;SPATA18;OTX1,0.10438084602355957
KIRC,1,42,Cox-Lasso,ok,,248,85,1974;7947;7025;2453;6841;1816;526;6013;5478;7607;3697;4181;3695;2689;1428;7007;5410;7074;313;3628,CYP3A7;WDR88;SPINK5;EREG;SLC6A15;CRABP1;ASAP3;RALYL;PEBP4;TPSD1;IGF2BP3;KRT73;IGF2BP1;FAT2;CDH22;SPATC1;PCDHGA5;SSTR1;ALX4;HSPB3,1.0016968250274658
KIRC,1,42,Cox-EN,ok,,248,85,1974;7947;6841;6013;7607;7007;5478;2453;5410;1816;6605;3628;3695;526;652;4251;2123;1677;7714;4181,CYP3A7;WDR88;SLC6A15;RALYL;TPSD1;SPATC1;PEBP4;EREG;PCDHGA5;CRABP1;SIGLEC12;HSPB3;IGF2BP1;ASAP3;BAALC;LEFTY2;DLL3;CMTM5;TSPYL5;KRT73,1.4924383163452148
KIRC,1,42,CGBoost,ok,,248,85,2454;6958;6476;5479;8071;6462;124;6596;3594;1429;2196;258;5561;6814;7948;527;6646;4085;5922;6599,ERG;SORBS3;SEMA4A;PECR;ZNF121;SECTM1;ADAM23;SHPRH;HS3ST2;CDH23;DOPEY2;AKR1B1;PITX2;SLC46A3;WDR90;ASB13;SLC10A4;KISS1R;PTPRC;SIAH3,42.76480150222778
KIRC,1,42,RSF,ok,,248,85,6450;5194;1051;2858;4060;6645;3502;2879;6631;4053;1500;5462;4236;257;2400;4735;4658;6143;674;6998,SDPR;NUF2;C8orf47;FOXA1;KIF23;SLC10A2;HJURP;FOXM1;SKA1;KIF18B;CEP55;PDK4;LCTL;AKNAD1;ENPP5;MPP4;MIA2;RGS17;BBOX1;SPATA18,26.041125774383545
KIRC,2,43,MKG,ok,,248,81,257;2858;4236;1971;1974;2195;3539;364;4084;319;3866;2253;4623;5462;4740;2169;542;5312;7669;5489,AKNAD1;FOXA1;LCTL;CYP3A4;CYP3A7;DONSON;HOXA2;ANKRD30B;KISS1;AMH;ITIH4;DUSP13;MERTK;PDK4;MPV17L;DNASE1L3;ASNS;PABPC1L;TROAP;PEX5L,71.60329246520996
KIRC,2,43,Uni-Cox,ok,,248,81,2021;6957;4236;1941;2195;6461;4309;5312;1409;5921;7945;7669;6450;8058;3866;6143;4053;7143;5615;6315,DCAF4L2;SORBS2;LCTL;CYFIP2;DONSON;SEC61A2;LIMCH1;PABPC1L;CDCA3;PTPRB;WDR72;TROAP;SDPR;ZIC2;ITIH4;RGS17;KIF18B;STX1A;PLCL2;RTL1,0.12323832511901855
KIRC,2,43,Cox-Lasso,ok,,248,81,5478;1974;6013;3489;123;7676;3632;7007;3565;636;7000;3695;541;1311;5410;6648;1057;1115;1952;2141,PEBP4;CYP3A7;RALYL;HIST1H4E;ADAM22;TRPM1;HSPB9;SPATC1;HOXD4;B3GALT2;SPATA22;IGF2BP1;ASIP;CCR10;PCDHGA5;SLC10A6;C9orf117;CADM1;CYP26B1;DMRTA1,1.1151316165924072
KIRC,2,43,Cox-EN,ok,,248,81,5478;6013;1974;7607;3489;7000;3632;7007;1057;5407;257;3655;1952;1311;3695;3565;636;3706;123;13,PEBP4;RALYL;CYP3A7;TPSD1;HIST1H4E;SPATA22;HSPB9;SPATC1;C9orf117;PCDHGA1;AKNAD1;ICA1;CYP26B1;CCR10;IGF2BP1;HOXD4;B3GALT2;IGFBPL1;ADAM22;ABCA13,1.538841724395752
KIRC,2,43,CGBoost,ok,,248,81,5479;1052;6958;2196;4999;258;4622;6462;8071;2860;365;1972;1975;4085;1942;4741;6649;3867;4237;3656,PECR;C8orf48;SORBS3;DOPEY2;NEUROD2;AKR1B1;MEPE;SECTM1;ZNF121;FOXA3;ANKRD31;CYP3A43;CYP46A1;KISS1R;CYGB;MPV17L2;SLC11A1;ITIH5;LDB2;ICA1L,42.42278528213501
KIRC,2,43,RSF,ok,,248,81,2169;3709;347;3850;4623;5347;7945;6595;6648;4998;255;5288;6365;2812;257;5287;1709;4024;5462;3317,DNASE1L3;IGFN1;ANK3;ITGA8;MERTK;PARD3B;WDR72;SHOX2;SLC10A6;NEUROD1;AKAP6;OTX1;SALL1;FKBP11;AKNAD1;OTUD7A;CNTNAP1;KIAA1161;PDK4;GSDMB,34.192378997802734
KIRC,3,44,MKG,ok,,248,82,5462;4236;4740;2169;1525;3539;1941;123;5478;6315;2964;5226;403;319;4099;2722;7669;4060;1409;2858,PDK4;LCTL;MPV17L;DNASE1L3;CHAT;HOXA2;CYFIP2;ADAM22;PEBP4;RTL1;GADD45A;OIP5;ANXA8L2;AMH;KLF6;FBXO43;TROAP;KIF23;CDCA3;FOXA1,52.18448543548584
KIRC,3,44,Uni-Cox,ok,,248,82,4236;1409;4053;6957;5647;3452;5462;6315;1941;8058;2655;4060;6631;7669;6461;4309;2656;1301;6003;622,LCTL;CDCA3;KIF18B;SORBS2;PLK1;HHIPL2;PDK4;RTL1;CYFIP2;ZIC2;FAM72B;KIF23;SKA1;TROAP;SEC61A2;LIMCH1;FAM72D;CCNF;RAD54L;AURKB,0.20628690719604492
KIRC,3,44,Cox-Lasso,ok,,248,82,5478;7607;636;7007;3469;123;8070;607;7469;837;925;24;3695;7000;1640;7025;3393;2818;972;3628,PEBP4;TPSD1;B3GALT2;SPATC1;HIST1H1T;ADAM22;ZNF117;ATP6V1G2;TMEM200C;C15orf26;C1orf204;ABCB4;IGF2BP1;SPATA22;CLEC4G;SPINK5;HBE1;FLG;C2orf73;HSPB3,2.1877827644348145
KIRC,3,44,Cox-EN,ok,,248,82,7607;5478;636;7007;837;925;1640;3469;6013;7025;3094;6841;607;24;3628;2818;1139;3393;8070;7676,TPSD1;PEBP4;B3GALT2;SPATC1;C15orf26;C1orf204;CLEC4G;HIST1H1T;RALYL;SPINK5;GJB5;SLC6A15;ATP6V1G2;ABCB4;HSPB3;FLG;CAMKV;HBE1;ZNF117;TRPM1,2.585543394088745
KIRC,3,44,CGBoost,ok,,248,82,5463;6462;5479;8071;7608;1410;7174;1526;7995;4622;926;2454;6316;1429;884;2860;1972;1322;404;124,PDLIM2;SECTM1;PECR;ZNF121;TPSG1;CDCA5;SVEP1;CHCHD10;XDH;MEPE;C1orf21;ERG;RTN1;CDH23;C19orf60;FOXA3;CYP3A43;CCT6P1;ANXA9;ADAM23,52.39687490463257
