Cancer,Repeat,Seed,Method,Status,Error,Subsample n,Event n,Top20 indices,Top20 genes,Elapsed sec
LIHC,1,42,MKG,ok,,286,105,7017;3029;7621;6986;4255;5960;3524;1163;3530;2326;4016;5954;1810;4631;5816;1117;3189;149;3185;4839,SRL;GHR;TRIM54;SPP1;LIMS2;RAPGEF3;HOXD10;CBX2;HOXD9;ELOVL3;KIF20A;RAMP3;CSAD;MMP1;PSRC1;CAPN3;GPR18;ADAMTS5;GPR17;NAALADL2,59.47978663444519
LIHC,1,42,Uni-Cox,ok,,286,105,1019;3802;7017;7638;5954;1374;6705;6900;3029;3102;2359;4255;7065;7579;1356;5816;3524;4914;4869;1495,C8orf22;ISM2;SRL;TRIP13;RAMP3;CDCA8;SLC2A1;SOCS2;GHR;GNA14;ENO1;LIMS2;STARD5;TPX2;CDC20;PSRC1;HOXD10;NEIL3;NBPF4;CHGA,0.10491156578063965
LIHC,1,42,Cox-Lasso,ok,,286,105,7751;6066;4874;5139;6374;2132;4257;2528;669;5216;2166;5339;694;1638;5435;4789;955;3886;3347;6291,TWIST2;RETN;NCAN;OCLM;SCN2B;DNAJC15;LIN52;FAM153A;BBS7;OXT;DOK5;PCDHGA5;BDNF;CMYA5;PGBD1;MYL4;C2orf78;KCNC2;HAUS4;RXFP1,1.3964409828186035
LIHC,1,42,Cox-EN,ok,,286,105,3886;5139;4874;6066;6374;7751;5435;518;6689;694;5216;4659;6291;92;2854;6860;915;5339;1138;3392,KCNC2;OCLM;NCAN;RETN;SCN2B;TWIST2;PGBD1;ARRDC5;SLC26A3;BDNF;OXT;MORC1;RXFP1;ACRBP;FRMD1;SMPDL3A;C1orf227;PCDHGA5;CASQ1;HES5,1.9672083854675293
LIHC,1,42,CGBoost,ok,,286,105,744;5900;6619;1036;6375;3190;3531;150;1164;746;1375;3803;2855;4808;6938;6501;5628;7018;4097;4790,BOK;QDPR;SLC16A12;C9orf169;SCN3A;GPR180;HP;ADAMTS6;CBX6;BPHL;CDCP1;ISPD;FRMD3;MYO1F;SPAG1;SGCD;POM121L9P;SRRM3;KMO;MYL5,34.95024824142456
LIHC,1,42,RSF,ok,,286,105,7591;4820;3530;3029;7572;1163;4089;4016;1921;6877;3524;2318;7017;5868;4970;1810;6705;774;4525;2805,TREM1;MYOCD;HOXD9;GHR;TPRXL;CBX2;KLRB1;KIF20A;CYP2C9;SNED1;HOXD10;ELFN1;SRL;PTPRN;NLRC3;CSAD;SLC2A1;BTNL9;MCM10;FMO9P,8.628870725631714
LIHC,2,43,MKG,ok,,286,104,2716;6986;1117;6705;1163;4729;4255;3029;1549;5430;7017;4595;4508;2137;149;2805;7703;2359;2952;6644,FER1L5;SPP1;CAPN3;SLC2A1;CBX2;MTHFS;LIMS2;GHR;CISH;PFN2;SRL;MGMT;MATN3;DNAJC6;ADAMTS5;FMO9P;TTC26;ENO1;GARNL3;SLC1A5,51.137516498565674
LIHC,2,43,Uni-Cox,ok,,286,104,1482;6986;4255;4304;5630;4595;6705;1019;7638;3138;6900;7591;3802;6644;5954;5427;7017;2875;1377;313,CGNL1;SPP1;LIMS2;LPCAT1;PON1;MGMT;SLC2A1;C8orf22;TRIP13;GOT2;SOCS2;TREM1;ISM2;SLC1A5;RAMP3;PFKFB4;SRL;FTCD;CDH10;ALX1,0.11258339881896973
LIHC,2,43,Cox-Lasso,ok,,286,104,5339;6066;6374;4964;7017;3347;6689;6134;337;669;915;6860;3248;8009;3827;694;5488;86;4575;6291,PCDHGA5;RETN;SCN2B;NKD2;SRL;HAUS4;SLC26A3;RIC3;ANGPT4;BBS7;C1orf227;SMPDL3A;GRIA1;ZCWPW2;ITGB7;BDNF;PIP5K1B;ACOXL;MFAP5;RXFP1,1.2801172733306885
LIHC,2,43,Cox-EN,ok,,286,104,6689;6066;6374;5339;3347;6134;669;6860;337;694;5233;6291;149;3827;1521;8009;915;5630;5216;995,SLC26A3;RETN;SCN2B;PCDHGA5;HAUS4;RIC3;BBS7;SMPDL3A;ANGPT4;BDNF;P4HA3;RXFP1;ADAMTS5;ITGB7;CHRNA4;ZCWPW2;C1orf227;PON1;OXT;C5orf58,1.8772234916687012
