Cancer,Repeat,Seed,Method,Status,Error,Subsample n,Event n,Top20 indices,Top20 genes,Elapsed sec
LUAD,1,42,MKG,ok,,352,128,2058;1957;2413;3640;743;7603;6735;3775;6123;233;5652;1143;902;1599;3743;3451;3636;6990;4420;506,DKK1;DAAM2;ERO1L;IGFBP1;BZRAP1;TRIM6;SLC47A1;IRX5;RHOF;AHSG;POLR3G;CBFA2T3;C20orf197;CLEC17A;INSL4;HMMR;IGF2BP1;SRCIN1;LY6K;ASB2,51.4329469203949
LUAD,1,42,Uni-Cox,ok,,352,128,2058;5512;1957;7833;2413;3640;6102;743;4667;10;3775;233;3740;368;3070;3451;1623;6127;5120;5583,DKK1;PITX3;DAAM2;VAX1;ERO1L;IGFBP1;RGS20;BZRAP1;MOCS1;ABAT;IRX5;AHSG;INPP5J;ANLN;GLS2;HMMR;CLIC6;RHOV;NTSR1;PLEK2,0.0907125473022461
LUAD,1,42,Cox-Lasso,ok,,352,128,4222;4025;6929;1244;6857;903;5140;7236;643;3520;1904;7472;1223;8049;2481;5191;7428;4923;6629;7626,LGALS9B;KIR2DL3;SPATA22;CCL20;SNTG2;C20orf202;NXPH1;TDRD1;BCAT1;HRCT1;CYP17A1;TMTC2;CCDC85B;ZNF233;FAHD2B;OPRD1;TMEM38A;NEK11;SLC18A1;TRPC6,1.3238532543182373
LUAD,1,42,Cox-EN,ok,,352,128,6929;4222;5140;1244;903;3520;6857;2481;5935;1904;7236;825;7096;2121;8049;7626;4201;5191;6629;1567,SPATA22;LGALS9B;NXPH1;CCL20;C20orf202;HRCT1;SNTG2;FAHD2B;R3HDML;CYP17A1;TDRD1;C17orf99;SULT4A1;DNAJC5G;ZNF233;TRPC6;LEFTY1;OPRD1;SLC18A1;CLCA1,1.9127728939056396
LUAD,1,42,CGBoost,ok,,352,128,2059;5513;4025;5653;1530;5141;3521;4198;11;1245;683;5288;6858;7604;1629;4223;2864;6867;1600;1601,DKK2;PIWIL1;KIR2DL3;POLR3H;CHRNA7;NXPH2;HRG;LEAP2;ABCA1;CCL21;BIRC5;PAPPA;SNTN;TRIM61;CLMN;LGALS9C;FUT5;SOAT2;CLEC18A;CLEC18B,20.585176467895508
LUAD,1,42,RSF,ok,,352,128,4379;2058;3640;5005;4448;5635;6990;6989;2327;7603;902;2482;2171;2863;233;8112;5698;6329;4269;4667,LRRC66;DKK1;IGFBP1;NMUR1;MAFK;PNMA2;SRCIN1;SQRDL;EMID1;TRIM6;C20orf197;FAIM2;DPYSL2;FUT4;AHSG;ZNF540;PPP1R13B;SARM1;LINGO2;MOCS1,6.949631214141846
LUAD,2,43,MKG,ok,,352,122,2058;6038;6127;5588;7690;5512;2361;8172;1599;6836;7888;3232;1967;5769;6735;6242;368;2603;3070;6734,DKK1;RBP5;RHOV;PLEKHB1;TTLL2;PITX3;ENPP5;ZNF80;CLEC17A;SNAI3;WDFY4;GRIA1;DAPK2;PRMT8;SLC47A1;RPS6KL1;ANLN;FAM83A;GLS2;SLC46A3,43.34277820587158
LUAD,2,43,Uni-Cox,ok,,352,122,5512;5588;6735;2058;368;7833;91;4667;10;4832;3070;6127;1904;6102;2413;7137;1805;3740;6486;7888,PITX3;PLEKHB1;SLC47A1;DKK1;ANLN;VAX1;ACSM5;MOCS1;ABAT;MYOZ1;GLS2;RHOV;CYP17A1;RGS20;ERO1L;SYT15;CRTAC1;INPP5J;SFTA3;WDFY4,0.06429052352905273
LUAD,2,43,Cox-Lasso,ok,,352,122,5140;6929;4222;7883;4025;825;7838;3041;5512;1847;6691;6242;3727;425;4024;2375;2942;1667;3117;7236,NXPH1;SPATA22;LGALS9B;WASH5P;KIR2DL3;C17orf99;VEGFA;GJB7;PITX3;CTCFL;SLC2A2;RPS6KL1;IMPG1;APOC4;KIR2DL1;EPGN;GATA2;CNTLN;GP6;TDRD1,1.025345802307129
LUAD,2,43,Cox-EN,ok,,352,122,6929;5140;825;4222;4024;4025;5477;2375;7883;2481;5512;1847;2942;447;3041;6691;6242;7236;1667;6857,SPATA22;NXPH1;C17orf99;LGALS9B;KIR2DL1;KIR2DL3;PHOX2A;EPGN;WASH5P;FAHD2B;PITX3;CTCFL;GATA2;ARG1;GJB7;SLC2A2;RPS6KL1;TDRD1;CNTLN;SNTG2,1.267843246459961
LUAD,2,43,CGBoost,ok,,352,122,4928;2059;1237;5513;5141;92;4939;6858;5589;2864;6243;2362;4025;1905;2572;4198;3521;1600;2482;1773,NEO1;DKK2;CCL14;PIWIL1;NXPH2;ACSS1;NEUROG3;SNTN;PLEKHF1;FUT5;RPSAP52;ENPP6;KIR2DL3;CYP19A1;FAM43A;LEAP2;HRG;CLEC18A;FAIM2;CPZ,19.675174951553345
LUAD,2,43,RSF,ok,,352,122,6242;2058;2863;3636;7263;4197;1091;2603;5588;5512;4420;4133;2571;4832;1332;8112;1300;10;5461;101,RPS6KL1;DKK1;FUT4;IGF2BP1;TFAP2A;LDLRAD3;CAMK1D;FAM83A;PLEKHB1;PITX3;LY6K;KRT81;FAM41C;MYOZ1;CD5;ZNF540;CD200R1;ABAT;PGM5;ACTN2,6.929899215698242
LUAD,3,44,MKG,ok,,352,129,3775;2058;3070;1967;1957;1904;3101;2759;743;8147;1490;4832;4090;7833;6408;2537;1884;5588;33;2413,IRX5;DKK1;GLS2;DAPK2;DAAM2;CYP17A1;GNMT;FLNC;BZRAP1;ZNF682;CHADL;MYOZ1;KLRG2;VAX1;SEC14L4;FAM179A;CXCL17;PLEKHB1;ABCC2;ERO1L,42.9433536529541
LUAD,3,44,Uni-Cox,ok,,352,129,5512;743;2058;4667;3775;7833;3070;4269;368;1884;2429;6735;1938;4832;1967;5698;773;5588;92;7373,PITX3;BZRAP1;DKK1;MOCS1;IRX5;VAX1;GLS2;LINGO2;ANLN;CXCL17;ESYT3;SLC47A1;CYP4B1;MYOZ1;DAPK2;PPP1R13B;C11orf92;PLEKHB1;ACSS1;TMEM125,0.08830785751342773
LUAD,3,44,Cox-Lasso,ok,,352,129,6929;4882;91;6857;3559;7236;2571;8049;1904;7503;4119;4269;310;4222;551;643;1566;5477;447;4025,SPATA22;NCAM2;ACSM5;SNTG2;HSPA6;TDRD1;FAM41C;ZNF233;CYP17A1;TNFSF14;KRT38;LINGO2;AMIGO1;LGALS9B;ATP13A5;BCAT1;CLC;PHOX2A;ARG1;KIR2DL3,1.2700674533843994
