Cancer,Repeat,Seed,Method,Status,Error,Subsample n,Event n,Top20 indices,Top20 genes,Elapsed sec
STAD,1,42,MKG,ok,,289,113,388;6301;5704;1601;4297;5545;671;1215;7333;4602;6540;2075;5778;2978;222;6612;5423;4764;1206;4819,APOD;SERPINE1;RAB11FIP4;CPNE8;MKNK2;PRR15L;BIK;CD97;TNFAIP2;NCLN;SLC35E4;EDNRB;RASAL1;GRB10;AK1;SLCO2A1;PPAP2C;NOXO1;CD82;NRP1,34.62346076965332
STAD,1,42,Uni-Cox,ok,,289,113,4149;388;313;1338;1601;5689;2721;6594;6872;6301;6612;4819;7731;5228;4297;2627;2358;5044;2978;2921,MATN3;APOD;ANKRD1;CGB5;CPNE8;PYY;GAMT;SLC7A2;ST6GALNAC3;SERPINE1;SLCO2A1;NRP1;VTN;PIM1;MKNK2;FOXS1;FAM162B;PCDHB5;GRB10;GPR115,0.07470202445983887
STAD,1,42,Cox-Lasso,ok,,289,113,4793;22;5066;3190;57;3836;4278;130;4667;3445;4475;6694;608;6248;181;7651;289;7992;154;267,NR1D1;ABCB1;PCTP;HMGN1;ACACB;LDHC;MIR196B;ADAMTS8;NETO2;IMPACT;MUC15;SNORD54;BAMBI;SELE;AFAP1L1;UPK3B;AMDHD1;ZNF605;ADH4;ALG10B,1.1799273490905762
STAD,1,42,Cox-EN,ok,,289,113,1849;22;3836;6248;4793;5066;154;4667;2222;130;3190;3874;6414;5594;7861;3979;4278;6694;2383;2490,DEFA5;ABCB1;LDHC;SELE;NR1D1;PCTP;ADH4;NETO2;ERAP2;ADAMTS8;HMGN1;LHFPL3;SIRPB1;PSORS1C3;ZFAND2A;LRRC31;MIR196B;SNORD54;FAM19A4;FCHO1,2.049651861190796
STAD,1,42,CGBoost,ok,,289,113,389;5690;3809;7653;4150;7738;2922;4794;1339;314;367;6302;4298;7862;1602;5842;155;2979;6764;3461,APOE;QDPR;LAP3;UQCRB;MAVS;WARS;GPR116;NR1D2;CGN;ANKRD10;APEH;SERPINE2;MKX;ZFHX3;CPOX;RDH16;ADH6;GRB14;SP9;INSIG1,34.376216173172
STAD,1,42,RSF,ok,,289,113,7861;3783;5778;1674;7969;1338;3876;7648;2019;234;6739;2099;4832;121;1456;2086;6301;3460;1591;2721,ZFAND2A;KRT81;RASAL1;CST6;ZNF521;CGB5;LHX6;UPK1B;DUSP1;AKR1B1;SORCS2;EGFR;NT5E;ADAMTS1;CLGN;EFEMP1;SERPINE1;INPP5J;CPE;GAMT,12.969994068145752
STAD,2,43,MKG,ok,,289,108,388;4297;390;288;1057;1853;5044;319;313;6582;1601;396;3994;234;5545;1439;1947;6301;3525;4808,APOD;MKNK2;APOH;AMBP;CC2D1A;DEGS2;PCDHB5;ANKRD22;ANKRD1;SLC5A1;CPNE8;APOLD1;LRRN1;AKR1B1;PRR15L;CLDN6;DNM2;SERPINE1;ITIH2;NRAP,39.87835359573364
STAD,2,43,Uni-Cox,ok,,289,108,6594;388;390;1601;288;4297;1439;3525;5044;3994;7731;313;3638;7214;2721;2292;4764;4149;1456;7092,SLC7A2;APOD;APOH;CPNE8;AMBP;MKNK2;CLDN6;ITIH2;PCDHB5;LRRN1;VTN;ANKRD1;KHDC1L;TMEM102;GAMT;F2;NOXO1;MATN3;CLGN;TF,0.08291316032409668
STAD,2,43,Cox-Lasso,ok,,289,108,2222;267;7773;1833;388;319;6;3837;5239;450;366;5510;3255;5426;535;321;1809;5560;4747;3364,ERAP2;ALG10B;WISP2;DDO;APOD;ANKRD22;AADAC;LDHD;PITX2;ARL6IP5;APCDD1;PRKAR1B;HRASLS2;PPAPDC2;ATP4A;ANKRD33B;DBR1;PRSS21;NOMO3;IFNGR1,1.298644781112671
STAD,2,43,Cox-EN,ok,,289,108,2222;7773;319;267;1833;154;5560;3255;321;3152;5239;5951;388;450;12;1809;5937;1849;535;1286,ERAP2;WISP2;ANKRD22;ALG10B;DDO;ADH4;PRSS21;HRASLS2;ANKRD33B;HIST1H2BH;PITX2;RND1;APOD;ARL6IP5;AATK;DBR1;RLN2;DEFA5;ATP4A;CEACAM1,1.9993810653686523
