Cancer,Cohort,Method,l1_ratio,selected_alpha,full_fit_nonzero,CV mean C-index,External C-index,Matched genes
LUAD,GSE31210,CV-Cox-Lasso,1.0,0.026406856481509398,176,0.6214686020209252,0.5314808866045615,17
LUAD,GSE31210,CV-Cox-EN,0.5,0.13583231767728454,47,0.6198305747224924,0.5772566655958882,17
LIHC,GSE14520,CV-Cox-Lasso,1.0,0.07913930849355136,33,0.6636050880705155,0.6075455333911535,17
LIHC,GSE14520,CV-Cox-EN,0.5,0.15827861698710272,45,0.6668394756090874,0.615929459381324,16
KIRC,GSE29609,CV-Cox-Lasso,1.0,0.058894216074812746,61,0.705122653085801,0.43103448275862066,17
KIRC,GSE29609,CV-Cox-EN,0.5,0.11778843214962549,78,0.7167135558790916,0.4547413793103448,17
COAD,GSE39582,CV-Cox-Lasso,1.0,0.009051427265548676,1833,0.5433602034636075,0.4715615446831261,17
COAD,GSE39582,CV-Cox-EN,0.5,0.0055581024638697634,4331,0.5618123438424212,0.4836936405883724,19
STAD,GSE84437,CV-Cox-Lasso,1.0,0.05537371291542491,59,0.5452605589712778,0.5424419967190063,20
STAD,GSE84437,CV-Cox-EN,0.5,0.11074742583084982,69,0.5480119679187693,0.5344113741113975,20
HNSC,GSE65858,CV-Cox-Lasso,1.0,0.07012119620395202,39,0.6187025629421152,0.517693155381413,20
HNSC,GSE65858,CV-Cox-EN,0.5,0.14024239240790404,45,0.6214320155215954,0.5177543773723522,20
