Cancer,Cohort,Method,n,Events,Matched genes,C-index,Bootstrap low,Bootstrap high,Valid resamples
LUAD,GSE31210,CV-Cox-Lasso,226,35,17,0.5314808866045615,0.4341947591022525,0.6246989932537681,1000
LUAD,GSE31210,CV-Cox-EN,226,35,17,0.5772566655958882,0.4727356146337748,0.6796749965371364,1000
LIHC,GSE14520,CV-Cox-Lasso,221,85,17,0.6075455333911535,0.544203052945447,0.6714564266484208,1000
LIHC,GSE14520,CV-Cox-EN,221,85,16,0.615929459381324,0.5492358498624323,0.6800111669548531,1000
KIRC,GSE29609,CV-Cox-Lasso,39,17,17,0.43103448275862066,0.27705095189919987,0.6050377862595419,1000
KIRC,GSE29609,CV-Cox-EN,39,17,17,0.4547413793103448,0.2924408625545442,0.6280178217821782,1000
COAD,GSE39582,CV-Cox-Lasso,573,190,17,0.4715615446831261,0.4230979923690501,0.5217970410468423,1000
COAD,GSE39582,CV-Cox-EN,573,190,19,0.4836936405883724,0.43541839460064313,0.5290346743484682,1000
STAD,GSE84437,CV-Cox-Lasso,431,207,20,0.5424419967190063,0.49840915892166004,0.5829952196005327,1000
STAD,GSE84437,CV-Cox-EN,431,207,20,0.5344113741113975,0.4919916680084705,0.5778199041227823,1000
HNSC,GSE65858,CV-Cox-Lasso,270,94,20,0.517693155381413,0.44770523171746374,0.5867722258948294,1000
HNSC,GSE65858,CV-Cox-EN,270,94,20,0.5177543773723522,0.45284682830548884,0.5856758978602132,1000
