Cancer,Repeat,Method,Selected alpha,Subsample n,Event n,Nonzero,Top20 indices,Top20 genes
COAD,1,CV-Cox-Lasso,0.009051427265548676,216,54,1200,7201;1507;1442;1060;886;1732;3494;3873;6033;6660;3903;4220;5423;6488;2385;2243;2855;3878;7701;5122,TFAP2B;CHRND;CER1;CACNG7;C1orf61;CPLX3;HRH3;KCNJ16;RFX4;SLC38A8;KCNQ2;LHX3;PHF21B;SHISA7;ERBB4;EFCAB1;FUT9;KCNJ6;UGT3A1;OC90
COAD,1,CV-Cox-EN,0.0055581024638697634,216,54,4847,7201;5393;7234;7701;1060;1732;3878;2855;1442;1853;4354;3862;6488;1767;6328;1507;4220;717;5687;959,TFAP2B;PEX5L;THEG;UGT3A1;CACNG7;CPLX3;KCNJ6;FUT9;CER1;CUX2;LRRC69;KCNH7;SHISA7;CRHR1;SCRT1;CHRND;LHX3;BPI;PRB3;C5orf38
COAD,2,CV-Cox-Lasso,0.009051427265548676,216,56,3429,7201;5172;7701;6252;6660;2855;1612;4903;1059;1422;7283;974;6309;4220;7725;1676;293;5393;5161;1507,TFAP2B;ORM1;UGT3A1;S100Z;SLC38A8;FUT9;CLUL1;NEUROD2;CACNG6;CELA3B;TLX3;C6orf165;SCN1A;LHX3;UPK1B;COL25A1;ALMS1P;PEX5L;OR2A1;CHRND
COAD,2,CV-Cox-EN,0.0055581024638697634,216,56,4593,7201;1060;6328;7701;4903;1732;4220;2855;1507;4354;6488;3494;3878;1853;1442;3110;3862;728;1767;419,TFAP2B;CACNG7;SCRT1;UGT3A1;NEUROD2;CPLX3;LHX3;FUT9;CHRND;LRRC69;SHISA7;HRH3;KCNJ6;CUX2;CER1;GPR123;KCNH7;BTBD17;CRHR1;APOBEC2
COAD,3,CV-Cox-Lasso,0.009051427265548676,216,57,1017,7201;7701;1507;1060;2855;4220;1732;6309;7196;1164;6488;7789;1509;4848;1079;6033;7756;4218;3110;3018,TFAP2B;UGT3A1;CHRND;CACNG7;FUT9;LHX3;CPLX3;SCN1A;TEX15;CCDC135;SHISA7;VTN;CHRNG;NCAN;CALML5;RFX4;VAX1;LHX1;GPR123;GKAP1
COAD,3,CV-Cox-EN,0.0055581024638697634,216,57,4851,7201;5393;1060;7701;1732;2855;1507;4354;4903;4220;6328;3862;3878;419;5964;6909;1605;1853;1767;717,TFAP2B;PEX5L;CACNG7;UGT3A1;CPLX3;FUT9;CHRND;LRRC69;NEUROD2;LHX3;SCRT1;KCNH7;KCNJ6;APOBEC2;RAX;SPOCK3;CLPS;CUX2;CRHR1;BPI
COAD,4,CV-Cox-Lasso,0.009051427265548676,216,52,2736,7201;7701;2059;4868;3878;4096;314;1732;2855;5819;6398;5761;7255;1164;1509;3733;7003;6030;4218;1768,TFAP2B;UGT3A1;DLGAP1;NDST4;KCNJ6;KRT39;AMBN;CPLX3;FUT9;PTH2R;SERPINB3;PRSS1;TIGD7;CCDC135;CHRNG;IQGAP2;STK32C;RFTN2;LHX1;CRHR2
COAD,4,CV-Cox-EN,0.0055581024638697634,216,52,4681,7201;5393;1060;7234;4354;7701;3878;1732;1767;4903;6909;6328;959;89;4220;1507;3749;1853;419;7811,TFAP2B;PEX5L;CACNG7;THEG;LRRC69;UGT3A1;KCNJ6;CPLX3;CRHR1;NEUROD2;SPOCK3;SCRT1;C5orf38;ACRV1;LHX3;CHRND;IRX2;CUX2;APOBEC2;WDR16
COAD,5,CV-Cox-Lasso,0.009051427265548676,216,55,3202,7201;4399;7283;2168;1458;8049;4007;1738;1420;7701;8174;1923;713;1060;7721;8185;4092;6660;7933;4090,TFAP2B;LY6K;TLX3;DRGX;CGA;ZNF479;KLB;CPNE4;CELA2A;UGT3A1;ZNF841;CYP7A1;BNIPL;CACNG7;UOX;ZNF879;KRT35;SLC38A8;ZFP37;KRT32
COAD,5,CV-Cox-EN,0.0055581024638697634,216,55,4280,7201;7701;1060;4354;6328;1507;1732;4220;4903;2855;1853;7856;6488;3110;2803;7811;6946;3878;3862;6175,TFAP2B;UGT3A1;CACNG7;LRRC69;SCRT1;CHRND;CPLX3;LHX3;NEUROD2;FUT9;CUX2;WNT3A;SHISA7;GPR123;FOXL2;WDR16;SRRM4;KCNJ6;KCNH7;RPL39L
COAD,6,CV-Cox-Lasso,0.009051427265548676,216,52,2749,7201;7701;4220;2855;5393;5172;3903;1612;358;1060;1853;6488;1420;1442;4759;974;7475;3314;1559;7184,TFAP2B;UGT3A1;LHX3;FUT9;PEX5L;ORM1;KCNQ2;CLUL1;ANKRD33;CACNG7;CUX2;SHISA7;CELA2A;CER1;MYH16;C6orf165;TP53TG3B;HCN4;CLDN19;TEKT2
COAD,6,CV-Cox-EN,0.0055581024638697634,216,52,4652,7201;5393;7234;1060;7701;3878;1732;4220;1442;1507;4759;4903;2855;728;1605;6488;1767;5687;6791;4354,TFAP2B;PEX5L;THEG;CACNG7;UGT3A1;KCNJ6;CPLX3;LHX3;CER1;CHRND;MYH16;NEUROD2;FUT9;BTBD17;CLPS;SHISA7;CRHR1;PRB3;SNCB;LRRC69
