Cancer,Repeat,Method,Selected alpha,Subsample n,Event n,Nonzero,Top20 indices,Top20 genes
HNSC,1,CV-Cox-Lasso,0.07012119620395202,410,176,40,1431;6940;4067;3720;2708;3473;2275;3204;5323;3980;7776;4853;188;4258;6937;5253;1039;4650;5338;232,CELSR3;SPINK6;KLK3;IMPG2;FGD3;HOXB9;EFNB2;GRB14;PARP15;KIAA1683;UPK2;MYO1H;ADPRHL1;LHX1;SPINK1;OTUD7A;CACNA1A;MKRN3;PAX8;AHRR
HNSC,1,CV-Cox-EN,0.14024239240790404,410,176,44,1431;4067;6940;3720;2708;2275;3473;5323;3204;188;3980;6937;7776;1039;4853;4258;5253;8200;4650;7309,CELSR3;KLK3;SPINK6;IMPG2;FGD3;EFNB2;HOXB9;PARP15;GRB14;ADPRHL1;KIAA1683;SPINK1;UPK2;CACNA1A;MYO1H;LHX1;OTUD7A;ZNF763;MKRN3;TIMP4
HNSC,2,CV-Cox-Lasso,0.07012119620395202,410,182,55,7601;7309;4205;6937;8200;6940;5338;2843;3980;163;1431;1069;7131;6291;309;3204;1769;7776;5245;5812,TRIML2;TIMP4;LCNL1;SPINK1;ZNF763;SPINK6;PAX8;FRMD5;KIAA1683;ADCY2;CELSR3;CALCB;SYT17;S1PR4;ALX4;GRB14;CREB3L3;UPK2;OSR2;PRSS12
HNSC,2,CV-Cox-EN,0.14024239240790404,410,182,65,7601;7309;4205;6937;8200;5338;2843;1431;163;6940;1069;4543;3980;3204;5812;309;6291;7776;4853;7131,TRIML2;TIMP4;LCNL1;SPINK1;ZNF763;PAX8;FRMD5;CELSR3;ADCY2;SPINK6;CALCB;MASP1;KIAA1683;GRB14;PRSS12;ALX4;S1PR4;UPK2;MYO1H;SYT17
HNSC,3,CV-Cox-Lasso,0.07012119620395202,410,173,45,4067;7776;7601;6940;827;7912;6658;5765;4543;7763;2843;3199;4205;8200;5474;7821;2528;1431;6148;5461,KLK3;UPK2;TRIML2;SPINK6;C19orf59;WNT7A;SLC25A45;PRKAR1B;MASP1;UNC13C;FRMD5;GRAP;LCNL1;ZNF763;PGC;VILL;FAM162B;CELSR3;RNASE10;PEX5L
HNSC,3,CV-Cox-EN,0.14024239240790404,410,173,50,4067;7776;7601;827;6940;4543;5765;7912;6658;2843;3199;8200;2528;7763;5474;4205;7821;1431;3980;6831,KLK3;UPK2;TRIML2;C19orf59;SPINK6;MASP1;PRKAR1B;WNT7A;SLC25A45;FRMD5;GRAP;ZNF763;FAM162B;UNC13C;PGC;LCNL1;VILL;CELSR3;KIAA1683;SNAP25
HNSC,4,CV-Cox-Lasso,0.07012119620395202,410,171,44,4067;6253;1431;4543;2060;4650;5253;1898;7912;7309;3201;5474;4119;3204;6659;3720;5170;2009;163;6658,KLK3;RTN4R;CELSR3;MASP1;DKK1;MKRN3;OTUD7A;CYP19A1;WNT7A;TIMP4;GRAPL;PGC;KRT39;GRB14;SLC26A1;IMPG2;OAF;DEFB1;ADCY2;SLC25A45
HNSC,4,CV-Cox-EN,0.14024239240790404,410,171,50,4067;6253;1431;2060;4543;4650;1898;7309;5253;5474;3204;7912;4119;3201;5170;6659;3720;163;2843;2275,KLK3;RTN4R;CELSR3;DKK1;MASP1;MKRN3;CYP19A1;TIMP4;OTUD7A;PGC;GRB14;WNT7A;KRT39;GRAPL;OAF;SLC26A1;IMPG2;ADCY2;FRMD5;EFNB2
HNSC,5,CV-Cox-Lasso,0.07012119620395202,410,166,43,4067;4543;1431;3980;7601;2060;6940;4650;4321;3329;2708;3204;1039;5765;5170;1898;5474;7402;2295;5338,KLK3;MASP1;CELSR3;KIAA1683;TRIML2;DKK1;SPINK6;MKRN3;LMX1B;HDC;FGD3;GRB14;CACNA1A;PRKAR1B;OAF;CYP19A1;PGC;TMEM220;EIF3C;PAX8
HNSC,5,CV-Cox-EN,0.14024239240790404,410,166,48,4067;4543;1431;2060;3980;7601;4650;2708;4321;3329;6940;3204;1039;5170;5765;5474;7402;1898;7131;5338,KLK3;MASP1;CELSR3;DKK1;KIAA1683;TRIML2;MKRN3;FGD3;LMX1B;HDC;SPINK6;GRB14;CACNA1A;OAF;PRKAR1B;PGC;TMEM220;CYP19A1;SYT17;PAX8
