Cancer,Repeat,Method,Selected alpha,Subsample n,Event n,Nonzero,Top20 indices,Top20 genes
KIRC,1,CV-Cox-Lasso,0.058894216074812746,248,85,68,2453;5478;6475;3593;8070;3697;1428;7947;2141;526;1974;123;6598;7025;7714;970;6813;6013;4251;257,EREG;PEBP4;SEMA3G;HS3ST1;ZNF117;IGF2BP3;CDH22;WDR88;DMRTA1;ASAP3;CYP3A7;ADAM22;SHROOM3;SPINK5;TSPYL5;C2orf70;SLC46A2;RALYL;LEFTY2;AKNAD1
KIRC,1,CV-Cox-EN,0.11778843214962549,248,85,91,2453;5478;6475;3697;3593;8070;526;1428;2141;1051;7947;1974;123;6813;4251;1192;6598;257;7025;6461,EREG;PEBP4;SEMA3G;IGF2BP3;HS3ST1;ZNF117;ASAP3;CDH22;DMRTA1;C8orf47;WDR88;CYP3A7;ADAM22;SLC46A2;LEFTY2;CBWD3;SHROOM3;AKNAD1;SPINK5;SEC61A2
KIRC,2,CV-Cox-Lasso,0.058894216074812746,248,81,62,5478;1051;7714;257;2453;6930;925;8070;4621;1971;6013;6648;4998;4896;3655;7607;7386;7862;3539;636,PEBP4;C8orf47;TSPYL5;AKNAD1;EREG;SNHG8;C1orf204;ZNF117;MEP1A;CYP3A4;RALYL;SLC10A6;NEUROD1;NAALADL2;ICA1;TPSD1;TIPARP;USP2;HOXA2;B3GALT2
KIRC,2,CV-Cox-EN,0.11778843214962549,248,81,75,5478;1051;257;8070;4621;7714;6930;925;2453;1974;1971;6013;4084;6648;4740;4998;3866;3655;4896;5489,PEBP4;C8orf47;AKNAD1;ZNF117;MEP1A;TSPYL5;SNHG8;C1orf204;EREG;CYP3A7;CYP3A4;RALYL;KISS1;SLC10A6;MPV17L;NEUROD1;ITIH4;ICA1;NAALADL2;PEX5L
KIRC,3,CV-Cox-Lasso,0.058894216074812746,248,82,57,5478;8070;5462;7607;123;2453;925;4621;1525;6648;3685;6813;403;2473;1428;1971;7173;1640;4052;7007,PEBP4;ZNF117;PDK4;TPSD1;ADAM22;EREG;C1orf204;MEP1A;CHAT;SLC10A6;IFITM1;SLC46A2;ANXA8L2;ESYT3;CDH22;CYP3A4;SV2C;CLEC4G;KIF18A;SPATC1
KIRC,3,CV-Cox-EN,0.11778843214962549,248,82,79,5478;8070;5462;7607;925;123;2453;4621;1525;6813;6648;3685;1971;7173;403;6461;1640;1428;7994;2473,PEBP4;ZNF117;PDK4;TPSD1;C1orf204;ADAM22;EREG;MEP1A;CHAT;SLC46A2;SLC10A6;IFITM1;CYP3A4;SV2C;ANXA8L2;SEC61A2;CLEC4G;CDH22;XCR1;ESYT3
KIRC,4,CV-Cox-Lasso,0.058894216074812746,248,80,66,8070;1158;4420;6813;5478;7607;257;7469;6648;1504;7000;123;8212;2991;6475;6595;2857;2453;4251;3760,ZNF117;CARD14;LRRC4C;SLC46A2;PEBP4;TPSD1;AKNAD1;TMEM200C;SLC10A6;CES1;SPATA22;ADAM22;ZNF843;GAPDHS;SEMA3G;SHOX2;FOSL1;EREG;LEFTY2;IL23R
KIRC,4,CV-Cox-EN,0.11778843214962549,248,80,84,8070;6813;257;7607;5478;1158;123;4420;7469;2991;6648;1504;6595;4251;8212;7000;2141;2453;6475;3685,ZNF117;SLC46A2;AKNAD1;TPSD1;PEBP4;CARD14;ADAM22;LRRC4C;TMEM200C;GAPDHS;SLC10A6;CES1;SHOX2;LEFTY2;ZNF843;SPATA22;DMRTA1;EREG;SEMA3G;IFITM1
KIRC,5,CV-Cox-Lasso,0.058894216074812746,248,77,64,5478;1051;3685;2453;925;6813;123;6484;5489;6648;7966;3452;7469;3539;5591;4251;7615;7607;3753;1291,PEBP4;C8orf47;IFITM1;EREG;C1orf204;SLC46A2;ADAM22;SEMA6D;PEX5L;SLC10A6;WNT1;HHIPL2;TMEM200C;HOXA2;PLA2G5;LEFTY2;TRAIP;TPSD1;IL1RN;CCL8
KIRC,5,CV-Cox-EN,0.11778843214962549,248,77,87,1051;5478;2453;3685;925;6813;5489;123;3452;6648;7469;3680;7966;3753;6930;6957;6484;7607;4251;2781,C8orf47;PEBP4;EREG;IFITM1;C1orf204;SLC46A2;PEX5L;ADAM22;HHIPL2;SLC10A6;TMEM200C;IFI44;WNT1;IL1RN;SNHG8;SORBS2;SEMA6D;TPSD1;LEFTY2;FGF5
