Cancer,Repeat,Method,Selected alpha,Subsample n,Event n,Nonzero,Top20 indices,Top20 genes
LIHC,1,CV-Cox-Lasso,0.07913930849355136,286,105,48,743;5899;6618;149;1035;3530;745;5816;2854;3189;4089;6937;4869;3802;5627;1163;6796;4096;3524;5587,BOC;PZP;SLC16A11;ADAMTS5;C9orf163;HOXD9;BOP1;PSRC1;FRMD1;GPR18;KLRB1;SPA17;NBPF4;ISM2;POLR3G;CBX2;SLC6A3;KLRK1;HOXD10;PLOD2
LIHC,1,CV-Cox-EN,0.15827861698710272,286,105,61,6618;5899;743;1035;149;3530;745;2854;4089;5627;3189;6937;4869;3802;3524;5816;4096;5587;1163;6900,SLC16A11;PZP;BOC;C9orf163;ADAMTS5;HOXD9;BOP1;FRMD1;KLRB1;POLR3G;GPR18;SPA17;NBPF4;ISM2;HOXD10;PSRC1;KLRK1;PLOD2;CBX2;SOCS2
LIHC,2,CV-Cox-Lasso,0.07913930849355136,286,104,41,3757;3524;4595;6374;6900;1482;1035;2137;3827;149;6618;351;6327;2716;5378;5899;5053;2210;6937;6120,INPP4B;HOXD10;MGMT;SCN2B;SOCS2;CGNL1;C9orf163;DNAJC6;ITGB7;ADAMTS5;SLC16A11;ANKRD13B;SAMD13;FER1L5;PDE6C;PZP;NR2E3;DTD1;SPA17;RHEBL1
LIHC,2,CV-Cox-EN,0.15827861698710272,286,104,54,4595;3757;1482;6374;3524;6900;1035;2137;3827;149;6618;6986;6327;5378;351;5899;3530;6120;5053;6937,MGMT;INPP4B;CGNL1;SCN2B;HOXD10;SOCS2;C9orf163;DNAJC6;ITGB7;ADAMTS5;SLC16A11;SPP1;SAMD13;PDE6C;ANKRD13B;PZP;HOXD9;RHEBL1;NR2E3;SPA17
LIHC,3,CV-Cox-Lasso,0.07913930849355136,286,96,25,1163;149;6900;3757;2725;2875;6066;6417;6705;3524;4595;7944;6768;6547;6101;5608;1374;7824;4869;3147,CBX2;ADAMTS5;SOCS2;INPP4B;FFAR3;FTCD;RETN;SEC31B;SLC2A1;HOXD10;MGMT;WNT1;SLC4A10;SHISA9;RGS20;PNLIPRP2;CDCA8;UNC80;NBPF4;GPC1
LIHC,3,CV-Cox-EN,0.15827861698710272,286,96,31,1163;149;6900;2725;2875;3757;6417;6705;6066;4595;7944;3524;6768;6547;1374;6101;2404;5608;3147;4869,CBX2;ADAMTS5;SOCS2;FFAR3;FTCD;INPP4B;SEC31B;SLC2A1;RETN;MGMT;WNT1;HOXD10;SLC4A10;SHISA9;CDCA8;RGS20;EPO;PNLIPRP2;GPC1;NBPF4
LIHC,4,CV-Cox-Lasso,0.07913930849355136,286,101,36,7077;3757;5639;1163;5587;1135;2805;4255;4869;6327;1374;2854;915;5899;6986;8176;149;5926;6712;6618,STK32B;INPP4B;POU2F1;CBX2;PLOD2;CASP12;FMO9P;LIMS2;NBPF4;SAMD13;CDCA8;FRMD1;C1orf227;PZP;SPP1;ZNF582;ADAMTS5;RAB3C;SLC2A4;SLC16A11
LIHC,4,CV-Cox-EN,0.15827861698710272,286,101,46,7077;3757;1163;5639;5587;2805;1135;4255;4869;6986;2854;6327;5899;1374;915;149;8176;6310;2725;6712,STK32B;INPP4B;CBX2;POU2F1;PLOD2;FMO9P;CASP12;LIMS2;NBPF4;SPP1;FRMD1;SAMD13;PZP;CDCA8;C1orf227;ADAMTS5;ZNF582;S100A9;FFAR3;SLC2A4
LIHC,5,CV-Cox-Lasso,0.07913930849355136,286,104,33,3757;1163;7703;3524;6986;1035;6618;1508;6900;745;7422;6066;1377;6937;1374;5378;6705;2875;2805;6374,INPP4B;CBX2;TTC26;HOXD10;SPP1;C9orf163;SLC16A11;CHODL;SOCS2;BOP1;TMEM179;RETN;CDH10;SPA17;CDCA8;PDE6C;SLC2A1;FTCD;FMO9P;SCN2B
LIHC,5,CV-Cox-EN,0.15827861698710272,286,104,42,3757;1163;7703;6986;1035;6900;1508;745;3524;6618;1374;6066;6937;6705;7422;1377;2404;5378;2805;2875,INPP4B;CBX2;TTC26;SPP1;C9orf163;SOCS2;CHODL;BOP1;HOXD10;SLC16A11;CDCA8;RETN;SPA17;SLC2A1;TMEM179;CDH10;EPO;PDE6C;FMO9P;FTCD
