Cancer,Repeat,Method,Selected alpha,Subsample n,Event n,Nonzero,Top20 indices,Top20 genes
LUAD,1,CV-Cox-Lasso,0.026406856481509398,352,128,163,4222;1244;6929;903;5140;6857;3520;4687;2058;7236;5191;4025;4024;4735;4712;6348;2481;7428;4197;6866,LGALS9B;CCL20;SPATA22;C20orf202;NXPH1;SNTG2;HRCT1;MPV17L;DKK1;TDRD1;OPRD1;KIR2DL3;KIR2DL1;MTBP;MSLNL;SCD;FAHD2B;TMEM38A;LDLRAD3;SNX7
LUAD,1,CV-Cox-EN,0.13583231767728454,352,128,57,2058;5512;4024;5652;4197;1529;5287;7603;682;6857;10;6866;5140;3520;2863;1244;5200;1600;1628;506,DKK1;PITX3;KIR2DL1;POLR3G;LDLRAD3;CHRNA6;PAPLN;TRIM6;BIRC3;SNTG2;ABAT;SNX7;NXPH1;HRCT1;FUT4;CCL20;OR2A4;CLEC18A;CLLU1OS;ASB2
LUAD,2,CV-Cox-Lasso,0.026406856481509398,352,122,168,5140;6929;825;6242;6857;4222;4024;7236;3041;1628;1847;2375;5512;2306;6691;2481;1541;3727;7151;4025,NXPH1;SPATA22;C17orf99;RPS6KL1;SNTG2;LGALS9B;KIR2DL1;TDRD1;GJB7;CLLU1OS;CTCFL;EPGN;PITX3;ELAVL4;SLC2A2;FAHD2B;CHST2;IMPG1;T;KIR2DL3
LUAD,2,CV-Cox-EN,0.13583231767728454,352,122,55,2058;5512;5140;4927;4938;6857;4024;1599;1236;2361;4197;2863;2571;6242;2481;1904;1772;1597;6102;91,DKK1;PITX3;NXPH1;NELL2;NEUROD1;SNTG2;KIR2DL1;CLEC17A;CCL13;ENPP5;LDLRAD3;FUT4;FAM41C;RPS6KL1;FAHD2B;CYP17A1;CPXM2;CLEC12B;RGS20;ACSM5
LUAD,3,CV-Cox-Lasso,0.026406856481509398,352,129,166,1566;8049;6929;447;1904;4025;7258;8053;1847;3520;7626;7917;7767;7236;3559;5652;5140;4090;4201;4269,CLC;ZNF233;SPATA22;ARG1;CYP17A1;KIR2DL3;TEX14;ZNF257;CTCFL;HRCT1;TRPC6;WFDC3;UGT1A10;TDRD1;HSPA6;POLR3G;NXPH1;KLRG2;LEFTY1;LINGO2
LUAD,3,CV-Cox-EN,0.13583231767728454,352,129,54,2058;4090;5512;4197;4269;1904;5652;8053;7258;7690;2481;743;7626;8013;638;4025;2482;4024;6331;506,DKK1;KLRG2;PITX3;LDLRAD3;LINGO2;CYP17A1;POLR3G;ZNF257;TEX14;TTLL2;FAHD2B;BZRAP1;TRPC6;ZFP3;BCAN;KIR2DL3;FAIM2;KIR2DL1;SATB2;ASB2
LUAD,4,CV-Cox-Lasso,0.026406856481509398,352,128,154,1566;7626;1904;6857;4025;5191;4197;2754;7236;5512;7428;6929;1628;5507;4222;5140;5435;8134;6080;558,CLC;TRPC6;CYP17A1;SNTG2;KIR2DL3;OPRD1;LDLRAD3;FKBP6;TDRD1;PITX3;TMEM38A;SPATA22;CLLU1OS;PIRT;LGALS9B;NXPH1;PER1;ZNF625;RFPL4B;ATP2A3
LUAD,4,CV-Cox-EN,0.13583231767728454,352,128,51,5512;4025;4197;1904;6857;1599;2058;2361;6931;7833;8013;6080;6127;2754;7236;4379;1628;3906;4090;5140,PITX3;KIR2DL3;LDLRAD3;CYP17A1;SNTG2;CLEC17A;DKK1;ENPP5;SPATA6;VAX1;ZFP3;RFPL4B;RHOV;FKBP6;TDRD1;LRRC66;CLLU1OS;KCNK1;KLRG2;NXPH1
LUAD,5,CV-Cox-Lasso,0.026406856481509398,352,124,169,903;682;1599;4735;8049;5078;1904;6679;7236;5477;6624;7645;2481;4201;5512;825;7626;4222;6929;1847,C20orf202;BIRC3;CLEC17A;MTBP;ZNF233;NR5A1;CYP17A1;SLC27A5;TDRD1;PHOX2A;SLC17A3;TSLP;FAHD2B;LEFTY1;PITX3;C17orf99;TRPC6;LGALS9B;SPATA22;CTCFL
LUAD,5,CV-Cox-EN,0.13583231767728454,352,124,43,3101;5512;2481;8013;1904;5652;1599;2058;5078;6763;4269;6857;8142;4025;2482;7870;3775;1143;1528;6625,GNMT;PITX3;FAHD2B;ZFP3;CYP17A1;POLR3G;CLEC17A;DKK1;NR5A1;SLC6A18;LINGO2;SNTG2;ZNF667;KIR2DL3;FAIM2;VWA2;IRX5;CBFA2T3;CHRNA5;SLC17A4
LUAD,6,CV-Cox-Lasso,0.026406856481509398,352,125,165,2635;7214;3464;7836;2554;4688;3794;4145;1884;4450;1679;5573;3232;4260;6861;976;863;7373;2919;2754,FBLN5;TCF21;HOOK1;VCAN;FAM196B;MPZ;ITGA4;LAD1;CXCL17;MAGEL2;COBL;PLCL2;GRIA1;LIMCH1;SNX21;C5orf58;C1orf110;TMEM125;GALNT3;FKBP6
