Cancer,Repeat,Method,Selected alpha,Subsample n,Event n,Nonzero,Top20 indices,Top20 genes
STAD,1,CV-Cox-Lasso,0.05537371291542491,289,113,75,7737;366;154;4793;388;4475;1967;6694;3836;1849;4769;3808;1338;390;5704;4667;7861;3957;22;5537,VWF;APCDD1;ADH4;NR1D1;APOD;MUC15;DOPEY2;SNORD54;LDHC;DEFA5;NPC2;LANCL2;CGB5;APOH;RAB11FIP4;NETO2;ZFAND2A;LRG1;ABCB1;PROM2
STAD,1,CV-Cox-EN,0.11074742583084982,289,113,88,154;4793;366;388;4475;7737;3808;1967;1849;7652;4667;6694;3836;2921;7861;4149;390;1338;4769;5689,ADH4;NR1D1;APCDD1;APOD;MUC15;VWF;LANCL2;DOPEY2;DEFA5;UPP1;NETO2;SNORD54;LDHC;GPR115;ZFAND2A;MATN3;APOH;CGB5;NPC2;PYY
STAD,2,CV-Cox-Lasso,0.05537371291542491,289,108,70,388;5545;4297;573;6460;5560;71;3808;1601;7005;2846;4793;319;2979;288;1415;7001;6894;3150;6590,APOD;PRR15L;MKNK2;AXIN2;SLC17A9;PRSS21;ACLY;LANCL2;CPNE8;TAF4B;GLS2;NR1D1;ANKRD22;GRB14;AMBP;CKAP4;TAF13;STC1;HIST1H2BF;SLC6A9
STAD,2,CV-Cox-EN,0.11074742583084982,289,108,83,388;4297;5545;5560;573;6460;1601;3808;71;288;2846;7005;1415;319;2979;6894;6583;6301;366;3150,APOD;MKNK2;PRR15L;PRSS21;AXIN2;SLC17A9;CPNE8;LANCL2;ACLY;AMBP;GLS2;TAF4B;CKAP4;ANKRD22;GRB14;STC1;SLC5A5;SERPINE1;APCDD1;HIST1H2BF
STAD,3,CV-Cox-Lasso,0.05537371291542491,289,111,71,4793;390;7861;5239;3808;2301;838;2921;6894;1849;388;2660;6555;7463;4959;6747;625;289;7737;6970,NR1D1;APOH;ZFAND2A;PITX2;LANCL2;FAAH;C1orf110;GPR115;STC1;DEFA5;APOD;FUT2;SLC39A14;TRIM25;PADI2;SOX14;BCAN;AMDHD1;VWF;SYN2
STAD,3,CV-Cox-EN,0.11074742583084982,289,111,85,4793;7861;3808;390;5239;2301;388;1849;2921;838;2660;6894;7463;6747;625;6555;181;6970;4959;289,NR1D1;ZFAND2A;LANCL2;APOH;PITX2;FAAH;APOD;DEFA5;GPR115;C1orf110;FUT2;STC1;TRIM25;SOX14;BCAN;SLC39A14;AFAP1L1;SYN2;PADI2;AMDHD1
STAD,4,CV-Cox-Lasso,0.05537371291542491,289,109,56,388;2921;2651;1290;3160;2023;3808;6747;366;625;5641;5044;4297;4667;6970;7466;71;3755;897;6289,APOD;GPR115;FSTL4;CEACAM3;HIST1H3G;DUSP16;LANCL2;SOX14;APCDD1;BCAN;PTPN6;PCDHB5;MKNK2;NETO2;SYN2;TRIM31;ACLY;KPNA7;C5;SERPINA6
STAD,4,CV-Cox-EN,0.11074742583084982,289,109,70,388;2921;2651;3808;6747;2023;4297;5044;366;3160;625;1290;5641;897;4832;4667;6970;6555;71;1849,APOD;GPR115;FSTL4;LANCL2;SOX14;DUSP16;MKNK2;PCDHB5;APCDD1;HIST1H3G;BCAN;CEACAM3;PTPN6;C5;NT5E;NETO2;SYN2;SLC39A14;ACLY;DEFA5
STAD,5,CV-Cox-Lasso,0.05537371291542491,289,110,71,1731;289;2921;7861;3808;1415;2651;1774;2490;71;5841;4058;2979;313;4786;894;5976;1206;1338;3755,CXCR4;AMDHD1;GPR115;ZFAND2A;LANCL2;CKAP4;FSTL4;CYP4X1;FCHO1;ACLY;RDH12;MAB21L2;GRB14;ANKRD1;NPW;C4orf32;RNF43;CD82;CGB5;KPNA7
STAD,5,CV-Cox-EN,0.11074742583084982,289,110,82,1731;289;2921;3808;7861;2651;1415;5841;2490;1774;71;4058;4786;313;894;1338;2979;5976;1206;3755,CXCR4;AMDHD1;GPR115;LANCL2;ZFAND2A;FSTL4;CKAP4;RDH12;FCHO1;CYP4X1;ACLY;MAB21L2;NPW;ANKRD1;C4orf32;CGB5;GRB14;RNF43;CD82;KPNA7
STAD,6,CV-Cox-Lasso,0.05537371291542491,289,108,68,4793;1731;390;5976;388;3314;1415;1879;464;3808;4786;535;2945;2921;4832;3874;12;234;3432;7471,NR1D1;CXCR4;APOH;RNF43;APOD;HYI;CKAP4;DHDH;ARRDC3;LANCL2;NPW;ATP4A;GPR37;GPR115;NT5E;LHFPL3;AATK;AKR1B1;IL4I1;TRIM47
STAD,6,CV-Cox-EN,0.11074742583084982,289,108,85,4793;1731;390;388;5976;3314;1415;1879;3808;464;4786;4832;2921;2945;3874;2301;535;1043;12;1526,NR1D1;CXCR4;APOH;APOD;RNF43;HYI;CKAP4;DHDH;LANCL2;ARRDC3;NPW;NT5E;GPR115;GPR37;LHFPL3;FAAH;ATP4A;CBFB;AATK;COL11A2
STAD,7,CV-Cox-Lasso,0.05537371291542491,289,118,67,390;4667;1034;388;2921;3808;7737;3755;5841;2222;1731;689;3836;7774;1849;4297;7115;2871;5689;5127,APOH;NETO2;CAST;APOD;GPR115;LANCL2;VWF;KPNA7;RDH12;ERAP2;CXCR4;BMP4;LDHC;WISP3;DEFA5;MKNK2;TGFB2;GNAS;PYY;PECR
STAD,7,CV-Cox-EN,0.11074742583084982,289,118,79,4667;390;388;3808;1034;5841;2921;3755;7737;4297;2222;5689;7115;3836;1731;1849;689;2871;2734;6590,NETO2;APOH;APOD;LANCL2;CAST;RDH12;GPR115;KPNA7;VWF;MKNK2;ERAP2;PYY;TGFB2;LDHC;CXCR4;DEFA5;BMP4;GNAS;GAST;SLC6A9
STAD,8,CV-Cox-Lasso,0.05537371291542491,289,116,61,7463;388;6970;5560;7737;3808;4560;3876;289;2979;71;3211;390;894;7861;6747;3755;1879;2490;4793,TRIM25;APOD;SYN2;PRSS21;VWF;LANCL2;NAGS;LHX6;AMDHD1;GRB14;ACLY;HORMAD1;APOH;C4orf32;ZFAND2A;SOX14;KPNA7;DHDH;FCHO1;NR1D1
STAD,8,CV-Cox-EN,0.11074742583084982,289,116,67,7463;388;3808;6970;5560;3876;289;390;4560;2979;3211;894;71;6747;7737;4793;1731;1879;7861;288,TRIM25;APOD;LANCL2;SYN2;PRSS21;LHX6;AMDHD1;APOH;NAGS;GRB14;HORMAD1;C4orf32;ACLY;SOX14;VWF;NR1D1;CXCR4;DHDH;ZFAND2A;AMBP
