"Cancer","Laplacian","Exact largest eigenvalue","converged","iterations","hit_iteration_cap","relative_change","objective","lipschitz_estimate","step_size","prox_gradient_l2","prox_gradient_linf","nonzero","FISTA iterations","FISTA converged","FISTA relative change","FISTA prox-gradient Linf","FISTA objective","FISTA nonzero","Locked minus FISTA objective","Top20 overlap","Top20 Jaccard"
"LUAD","zero","864.4203229437403","False","300","True","0.0020373689725919656","0.5871200335676591","906.0548963873928","0.001103685884803651","0.06551007162310135","0.04392561279372277","37","750","True","6.738465411274161e-07","7.832867206653257e-07","0.5851788126020345","10","0.001941220965624546","10","0.3333333333333333"
"LUAD","routed","884.1170717595866","False","300","True","0.0001322828481895155","0.5915985765802009","926.0369072205259","0.0010798705669318","0.001091641123419201","0.001001680078223192","102","170","True","8.832789135857101e-07","8.870947301181763e-07","0.5915985188885866","102","5.76916142636108e-08","20","1.0"
"LIHC","zero","1193.2252423406226","False","300","True","0.002061503038344109","0.6051079067699392","1252.8787861096584","0.0007981618102938131","0.07803843303087675","0.034799475733078386","51","1020","True","5.750083605556585e-07","9.43358566823435e-07","0.6029905117084966","13","0.002117395061442595","12","0.42857142857142855"
"LIHC","routed","1197.831971495296","False","300","True","0.00128812956064355","0.607610617351927","1257.7151173358488","0.0007950926137536193","0.033662857862571297","0.02024014921478947","72","460","True","9.630708492732746e-07","6.481467441014735e-07","0.6074386720761098","66","0.0001719452758172091","19","0.9047619047619048"
"KIRC","zero","992.0218533079636","False","300","True","0.0019430285199311642","0.5907529860914499","1040.644710037681","0.0009609427601508594","0.13720312363681217","0.03665965493035872","111","1370","True","9.847912013898095e-07","7.04417146623906e-07","0.5843410084903577","26","0.006411977601092134","18","0.8181818181818182"
"KIRC","routed","1003.319673874499","False","300","True","0.00143108005211122","0.6049304242235087","1052.4501479659282","0.0009501637696880003","0.07396453302599804","0.035499086258464096","261","580","True","3.2690581340811213e-07","9.70183630046548e-07","0.6035590799722977","221","0.001371344251210993","18","0.8181818181818182"
"COAD","zero","1498.422690937564","False","300","True","0.0024269192066967843","0.4817187481650952","1573.3415507880836","0.0006355899006792911","0.06753207931808587","0.03061697717915047","29","900","True","1.6356014130805071e-07","9.827627023092057e-07","0.4804012380574755","10","0.0013175101076197127","9","0.2903225806451613"
"COAD","routed","1510.3116299574397","False","300","True","0.0008029496275695085","0.4829088962533836","1585.8240107602103","0.0006305869965486405","0.010284763031898228","0.007144987582474017","30","230","True","5.331304215945864e-07","8.865077600555547e-07","0.4829035842871337","29","5.311966249921252e-06","20","1.0"
"STAD","zero","1267.0604930264203","False","300","True","0.002512731165430052","0.6184544384394793","1330.4131149320422","0.0007516462283604896","0.058392297156895034","0.03945792766452251","18","780","True","5.303395862235881e-07","9.755761707029994e-07","0.6173572119627851","8","0.0010972264766941908","10","0.3333333333333333"
"STAD","routed","1267.0604930264203","False","300","True","0.002512731165430052","0.6184544384394793","1330.4131149320422","0.0007516462283604896","0.058392297156895034","0.03945792766452251","18","780","True","5.303395862235881e-07","9.755761707029994e-07","0.6173572119627851","8","0.0010972264766941908","10","0.3333333333333333"
"HNSC","zero","1059.8095589144364","False","300","True","0.0023098998422199702","0.6611968715170762","1066.7048050527412","0.0009374664811325724","0.060984514753858","0.039067186647869706","27","700","True","9.790664158525866e-07","8.776452459712715e-07","0.6595265513483963","7","0.0016703201686798508","7","0.21212121212121213"
"HNSC","routed","1065.2807722035948","False","300","True","0.0011392440758543796","0.6627128449072666","1069.6105186453658","0.0009349197512254033","0.017326003785734928","0.009456079847849066","37","350","True","7.351772241076666e-08","5.997230633659336e-07","0.6626760222215914","32","3.6822685675175215e-05","20","1.0"
