Cancer,Cohort,Role,Method,n,Events,Matched genes,C-index,95% CI low,95% CI high,Valid resamples
LUAD,GSE31210,Primary,MKG,226,35,14,0.6480886604561517,0.5443661796903293,0.7469169297199987,1000
LUAD,GSE31210,Primary,Uni-Cox,226,35,17,0.6676839061998072,0.5827765033563642,0.7517863506230129,1000
LUAD,GSE31210,Primary,CV-Cox-Lasso,226,35,17,0.5314808866045615,0.4341947591022525,0.6246989932537681,1000
LUAD,GSE31210,Primary,CV-Cox-EN,226,35,17,0.5772566655958882,0.4727356146337748,0.6796749965371364,1000
LUAD,GSE31210,Primary,RSF ranking,226,35,18,0.4601670414391262,0.3513987523879943,0.560402140467697,1000
LUAD,GSE31210,Primary,DeepSurv attribution,226,35,16,0.5170253774494057,0.4178954076084407,0.6134471703404609,1000
LUAD,GSE50081,Additional within-cancer replication,MKG,181,75,14,0.6000878927708196,0.5334735020735304,0.6738919745608547,1000
LUAD,GSE50081,Additional within-cancer replication,Uni-Cox,181,75,17,0.5765765765765766,0.5112737698773121,0.6440108107055202,1000
LUAD,GSE50081,Additional within-cancer replication,CV-Cox-Lasso,181,75,17,0.5511975390024171,0.4874197945490304,0.6153946074848584,1000
LUAD,GSE50081,Additional within-cancer replication,CV-Cox-EN,181,75,17,0.5738299274884641,0.5074791223816894,0.6436884113330092,1000
LUAD,GSE50081,Additional within-cancer replication,RSF ranking,181,75,18,0.510547132498352,0.4444968411215115,0.5813649408691013,1000
LUAD,GSE50081,Additional within-cancer replication,DeepSurv attribution,181,75,16,0.518457481872116,0.4449778538042205,0.5944122758730778,1000
LIHC,GSE14520,Primary,MKG,221,85,16,0.6584995663486557,0.5988023830580129,0.7167617542473083,1000
LIHC,GSE14520,Primary,Uni-Cox,221,85,18,0.6086296617519514,0.5426967523873116,0.6711795179469634,1000
LIHC,GSE14520,Primary,CV-Cox-Lasso,221,85,17,0.6075455333911535,0.544203052945447,0.6714564266484208,1000
LIHC,GSE14520,Primary,CV-Cox-EN,221,85,16,0.615929459381324,0.5492358498624323,0.6800111669548531,1000
LIHC,GSE14520,Primary,RSF ranking,221,85,13,0.5042642382191385,0.4417333522737372,0.5673511025101379,1000
LIHC,GSE14520,Primary,DeepSurv attribution,221,85,13,0.5830442324371206,0.5245764168777859,0.6386881673343029,1000
LIHC,GSE76427,Additional within-cancer replication,MKG,115,23,20,0.4879825200291333,0.3156140011228777,0.634535212501593,1000
LIHC,GSE76427,Additional within-cancer replication,Uni-Cox,115,23,20,0.4668608885651857,0.3176000536555229,0.6113844774239477,1000
LIHC,GSE76427,Additional within-cancer replication,CV-Cox-Lasso,115,23,20,0.482884195193008,0.3262274821952241,0.6214251961098124,1000
LIHC,GSE76427,Additional within-cancer replication,CV-Cox-EN,115,23,20,0.4785142024763292,0.3326333075286958,0.6119474770667297,1000
LIHC,GSE76427,Additional within-cancer replication,RSF ranking,115,23,20,0.4522942461762563,0.3399588428313651,0.5626273425825418,1000
LIHC,GSE76427,Additional within-cancer replication,DeepSurv attribution,115,23,19,0.3991260014566642,0.2600046589993018,0.5563732518244539,1000
KIRC,GSE29609,Stress test,MKG,39,17,18,0.2823275862068966,0.1666487068965517,0.4065161298523019,1000
KIRC,GSE29609,Stress test,Uni-Cox,39,17,14,0.3728448275862069,0.257212756825985,0.4974719619072411,1000
KIRC,GSE29609,Stress test,CV-Cox-Lasso,39,17,17,0.4310344827586206,0.2770509518991998,0.6050377862595419,1000
KIRC,GSE29609,Stress test,CV-Cox-EN,39,17,17,0.4547413793103448,0.2924408625545442,0.6280178217821782,1000
KIRC,GSE29609,Stress test,RSF ranking,39,17,17,0.375,0.2315885202131989,0.5321760168302946,1000
