metric,method,n_cancers,mean,median,sd_across_cancers
normalized_RBO20,MKG,6,0.2875115477484643,0.2871439353894225,0.08221006616898911
normalized_RBO20,Uni-Cox,6,0.262811747749856,0.2699403303650459,0.05049950191388192
normalized_RBO20,CGBoost,6,0.2224341954542213,0.2265033254938733,0.03906703042396849
normalized_RBO20,Cox-EN,6,0.21570274252794083,0.21105238156232564,0.036443915959582504
normalized_RBO20,Cox-Lasso,6,0.13842590771646462,0.1335285054402821,0.031173124552728165
normalized_RBO20,RSF,6,0.10401469010476856,0.10647656641066885,0.03520824166039334
Jaccard,MKG,6,0.230148871506755,0.24219506847802344,0.04500205592592092
Jaccard,Uni-Cox,6,0.24149755587281588,0.24668071410204095,0.06278566493515042
Jaccard,CGBoost,6,0.18748033139091305,0.18914102860477774,0.020908895283105623
Jaccard,Cox-EN,6,0.15852431078537974,0.16550637044948355,0.02422204760822362
Jaccard,Cox-Lasso,6,0.11205034494950077,0.111110411361723,0.0179571680469563
Jaccard,RSF,6,0.07960857616634032,0.0792027792761048,0.023556112551358414
