cancer,split_seed,train_n,test_n,test_events,gate_margin,no_graph_cindex,reconstructed_cindex,fixed_cindex,fixed_minus_reconstructed,top20_overlap,top20_jaccard,reconstructed_mode,fixed_mode,route_agreement,reconstructed_reject,fixed_reject,runtime_seconds,source_json
LUAD,42,308,132,47,0.0,0.5780525502318392,0.5545595054095827,0.5536321483771252,-0.0009273570324574987,19,0.9047619047619048,dual_driven,dual_driven,True,False,False,3489.9622535705566,LUAD_seed42/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
LUAD,2025,308,132,47,0.0,0.5423625873064075,0.5654418463407227,0.5605830549650774,-0.004858791375645266,18,0.8181818181818182,dual_driven,dual_driven,True,False,False,3078.5354363918304,LUAD_seed2025/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
LUAD,7301,308,132,47,0.0,0.521650087770626,0.521650087770626,0.521650087770626,0.0,20,1.0,reject_all_graphs,reject_all_graphs,True,True,True,2725.752951860428,LUAD_seed7301/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
LIHC,42,250,108,38,0.0,0.6632696390658174,0.6552016985138004,0.6679405520169851,0.01273885350318471,17,0.7391304347826086,dual_driven,dual_driven,True,False,False,4202.995233774185,LIHC_seed42/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
LIHC,2025,250,108,38,0.0,0.6300705467372134,0.6300705467372134,0.6437389770723104,0.013668430335097015,17,0.7391304347826086,reject_all_graphs,dual_driven,False,True,False,3453.118698835373,LIHC_seed2025/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
LIHC,7301,250,108,38,0.0,0.540692989524577,0.5278001611603546,0.540290088638195,0.012489927477840501,18,0.8181818181818182,dual_driven,dual_driven,True,False,False,4077.7660217285156,LIHC_seed7301/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
KIRC,42,217,94,31,0.0,0.644157369348209,0.644157369348209,0.6676453317674692,0.02348796241926021,16,0.6666666666666666,reject_all_graphs,dual_driven,False,True,False,4380.506454944611,KIRC_seed42/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
KIRC,2025,217,94,31,0.0,0.7269029633933759,0.7402672864613596,0.7280650784427658,-0.01220220801859384,18,0.8181818181818182,dual_driven,dual_driven,True,False,False,4444.080125331879,KIRC_seed2025/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
KIRC,7301,217,94,31,0.0,0.6597051597051597,0.6652334152334153,0.6504914004914005,-0.014742014742014753,18,0.8181818181818182,dual_driven,dual_driven,True,False,False,3690.676781654358,KIRC_seed7301/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
COAD,42,189,81,20,0.0,0.617363344051447,0.6141479099678456,0.594855305466238,-0.019292604501607635,17,0.7391304347826086,dual_driven,dual_driven,True,False,False,5294.186071395874,COAD_seed42/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
COAD,2025,189,81,20,0.0,0.629424778761062,0.6548672566371682,0.629424778761062,-0.025442477876106206,19,0.9047619047619048,dual_driven,reject_all_graphs,False,False,True,3665.807490348816,COAD_seed2025/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
COAD,7301,189,81,20,0.0,0.6527472527472528,0.6604395604395604,0.6494505494505495,-0.01098901098901095,19,0.9047619047619048,dual_driven,dual_driven,True,False,False,3923.2094297409058,COAD_seed7301/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
STAD,42,253,109,42,0.0,0.5663591199432222,0.5663591199432222,0.5645848119233499,-0.0017743080198723282,17,0.7391304347826086,reject_all_graphs,dual_driven,False,True,False,4532.114767789841,STAD_seed42/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
STAD,2025,253,109,42,0.0,0.5883244882486732,0.5883244882486732,0.5883244882486732,0.0,20,1.0,reject_all_graphs,reject_all_graphs,True,True,True,3268.2273058891296,STAD_seed2025/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
STAD,7301,253,109,42,0.0,0.6265320836337419,0.6359048305695746,0.6409516943042538,0.005046863734679219,19,0.9047619047619048,dual_driven,dual_driven,True,False,False,3069.9483473300934,STAD_seed7301/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
HNSC,42,359,154,65,0.0,0.6019047619047619,0.605021645021645,0.5989610389610389,-0.0060606060606061,19,0.9047619047619048,dual_driven,dual_driven,True,False,False,4614.381976604462,HNSC_seed42/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
HNSC,2025,359,154,65,0.0,0.6054859464950897,0.6103962072468676,0.6054859464950897,-0.004910260751777917,19,0.9047619047619048,dual_driven,dual_driven,True,False,False,4604.3879301548,HNSC_seed2025/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
HNSC,7301,359,154,65,0.0,0.5924974306269271,0.5858170606372045,0.5924974306269271,0.0066803699897225455,18,0.8181818181818182,dual_driven,reject_all_graphs,False,False,True,1965.9631979465485,HNSC_seed7301/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
LUAD,42,308,132,47,0.005,0.5780525502318392,0.5545595054095827,0.5536321483771252,-0.0009273570324574987,19,0.9047619047619048,dual_driven,dual_driven,True,False,False,3489.9622535705566,LUAD_seed42/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
LUAD,2025,308,132,47,0.005,0.5423625873064075,0.5654418463407227,0.5605830549650774,-0.004858791375645266,18,0.8181818181818182,dual_driven,dual_driven,True,False,False,3078.5354363918304,LUAD_seed2025/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
LUAD,7301,308,132,47,0.005,0.521650087770626,0.521650087770626,0.521650087770626,0.0,20,1.0,reject_all_graphs,reject_all_graphs,True,True,True,2725.752951860428,LUAD_seed7301/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
LIHC,42,250,108,38,0.005,0.6632696390658174,0.6632696390658174,0.6679405520169851,0.004670912951167727,18,0.8181818181818182,reject_all_graphs,dual_driven,False,True,False,4202.995233774185,LIHC_seed42/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
LIHC,2025,250,108,38,0.005,0.6300705467372134,0.6300705467372134,0.6300705467372134,0.0,20,1.0,reject_all_graphs,reject_all_graphs,True,True,True,3453.118698835373,LIHC_seed2025/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
LIHC,7301,250,108,38,0.005,0.540692989524577,0.5278001611603546,0.5390813859790492,0.011281224818694646,18,0.8181818181818182,dual_driven,dual_driven,True,False,False,4077.7660217285156,LIHC_seed7301/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
KIRC,42,217,94,31,0.005,0.644157369348209,0.644157369348209,0.6676453317674692,0.02348796241926021,16,0.6666666666666666,reject_all_graphs,dual_driven,False,True,False,4380.506454944611,KIRC_seed42/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
KIRC,2025,217,94,31,0.005,0.7269029633933759,0.737361998837885,0.737361998837885,0.0,20,1.0,dual_driven,dual_driven,True,False,False,4444.080125331879,KIRC_seed2025/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
KIRC,7301,217,94,31,0.005,0.6597051597051597,0.6652334152334153,0.6633906633906634,-0.0018427518427518441,18,0.8181818181818182,dual_driven,dual_driven,True,False,False,3690.676781654358,KIRC_seed7301/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
COAD,42,189,81,20,0.005,0.617363344051447,0.6141479099678456,0.594855305466238,-0.019292604501607635,17,0.7391304347826086,dual_driven,dual_driven,True,False,False,5294.186071395874,COAD_seed42/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
COAD,2025,189,81,20,0.005,0.629424778761062,0.6548672566371682,0.629424778761062,-0.025442477876106206,19,0.9047619047619048,dual_driven,reject_all_graphs,False,False,True,3665.807490348816,COAD_seed2025/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
COAD,7301,189,81,20,0.005,0.6527472527472528,0.6384615384615384,0.6494505494505495,0.010989010989011061,19,0.9047619047619048,dual_driven,dual_driven,True,False,False,3923.2094297409058,COAD_seed7301/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
STAD,42,253,109,42,0.005,0.5663591199432222,0.5663591199432222,0.5645848119233499,-0.0017743080198723282,17,0.7391304347826086,reject_all_graphs,dual_driven,False,True,False,4532.114767789841,STAD_seed42/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
STAD,2025,253,109,42,0.005,0.5883244882486732,0.5883244882486732,0.5883244882486732,0.0,20,1.0,reject_all_graphs,reject_all_graphs,True,True,True,3268.2273058891296,STAD_seed2025/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
STAD,7301,253,109,42,0.005,0.6265320836337419,0.6359048305695746,0.6409516943042538,0.005046863734679219,19,0.9047619047619048,dual_driven,dual_driven,True,False,False,3069.9483473300934,STAD_seed7301/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
HNSC,42,359,154,65,0.005,0.6019047619047619,0.6045021645021645,0.6019047619047619,-0.0025974025974025983,18,0.8181818181818182,dual_driven,reject_all_graphs,False,False,True,4614.381976604462,HNSC_seed42/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
HNSC,2025,359,154,65,0.005,0.6054859464950897,0.6103962072468676,0.6054859464950897,-0.004910260751777917,19,0.9047619047619048,dual_driven,dual_driven,True,False,False,4604.3879301548,HNSC_seed2025/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
HNSC,7301,359,154,65,0.005,0.5924974306269271,0.5924974306269271,0.5924974306269271,0.0,20,1.0,reject_all_graphs,reject_all_graphs,True,True,True,1965.9631979465485,HNSC_seed7301/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
LUAD,42,308,132,47,0.01,0.5780525502318392,0.5545595054095827,0.5780525502318392,0.02349304482225656,18,0.8181818181818182,dual_driven,reject_all_graphs,False,False,True,3489.9622535705566,LUAD_seed42/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
LUAD,2025,308,132,47,0.01,0.5423625873064075,0.5423625873064075,0.5423625873064075,0.0,20,1.0,reject_all_graphs,reject_all_graphs,True,True,True,3078.5354363918304,LUAD_seed2025/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
LUAD,7301,308,132,47,0.01,0.521650087770626,0.521650087770626,0.521650087770626,0.0,20,1.0,reject_all_graphs,reject_all_graphs,True,True,True,2725.752951860428,LUAD_seed7301/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
LIHC,42,250,108,38,0.01,0.6632696390658174,0.6632696390658174,0.6679405520169851,0.004670912951167727,18,0.8181818181818182,reject_all_graphs,dual_driven,False,True,False,4202.995233774185,LIHC_seed42/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
LIHC,2025,250,108,38,0.01,0.6300705467372134,0.6300705467372134,0.6300705467372134,0.0,20,1.0,reject_all_graphs,reject_all_graphs,True,True,True,3453.118698835373,LIHC_seed2025/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
LIHC,7301,250,108,38,0.01,0.540692989524577,0.5310233682514102,0.5447219983883964,0.013698630136986245,17,0.7391304347826086,dual_driven,dual_driven,True,False,False,4077.7660217285156,LIHC_seed7301/CMPB_REPEATED_TRAIN_ONLY_GRAPH_AUDIT.json
