Cancer,Horizon,Usable calibration n,Usable test n,Local coverage,Local width,Global coverage,Global width,Width reduction
LUAD,1y,98,96,0.948,0.477,0.938,0.837,0.360
LUAD,3y,55,57,0.842,0.984,0.912,0.988,0.004
LUAD,5y,50,51,0.882,0.940,0.961,0.935,-0.004
LIHC,1y,77,80,0.950,0.717,0.950,0.896,0.179
LIHC,3y,46,48,0.979,0.985,1.000,0.991,0.005
LIHC,5y,36,37,0.811,0.711,0.919,0.940,0.229
KIRC,1y,69,67,0.896,0.529,0.925,0.804,0.275
KIRC,3y,55,53,0.868,0.925,0.830,0.884,-0.041
KIRC,5y,41,40,0.900,0.923,0.925,0.929,0.007
COAD,1y,63,63,0.952,0.782,0.937,0.842,0.060
COAD,3y,30,32,0.875,0.966,0.938,0.976,0.010
COAD,5y,24,27,0.889,0.971,0.889,0.969,-0.002
STAD,1y,76,79,0.962,0.990,0.949,0.974,-0.015
STAD,3y,42,47,0.915,0.974,0.957,0.977,0.003
STAD,5y,36,38,1.000,0.938,1.000,0.913,-0.024
HNSC,1y,119,121,0.959,0.876,0.909,0.893,0.017
HNSC,3y,75,85,0.953,0.982,0.941,0.971,-0.011
HNSC,5y,59,61,0.951,0.973,0.934,0.949,-0.024

