Cancer,Method,normalized_RBO20,Jaccard
LUAD,MKG,0.3134035219745406,0.2116623685452697
LUAD,Uni-Cox,0.3814758239119761,0.2618422642250109
LUAD,CGBoost,0.2207912476528782,0.1865854856033141
LUAD,CV-Cox-EN,0.2576718679885742,0.2043421541627203
LUAD,CV-Cox-Lasso,0.0910626880547613,0.0821448819964542
LUAD,RSF,0.1003659879489567,0.0908542092540825
LIHC,MKG,0.2332206681474401,0.1967631157396294
LIHC,Uni-Cox,0.2221085509999356,0.2180629402884644
LIHC,CGBoost,0.1860060464992555,0.1589230457479142
LIHC,CV-Cox-EN,0.1973808098463481,0.1724012225181335
LIHC,CV-Cox-Lasso,0.1965197941230793,0.1657025209408716
LIHC,RSF,0.1100334403635268,0.0901985832860179
KIRC,MKG,0.2491742118597495,0.1836235131361573
KIRC,Uni-Cox,0.3339724343117922,0.2921734631591777
KIRC,CGBoost,0.2611959233186883,0.2044067474633759
KIRC,CV-Cox-EN,0.2250408824864682,0.1604410009049495
KIRC,CV-Cox-Lasso,0.2130891368294008,0.1533030716666128
KIRC,RSF,0.0754077658009946,0.0832970439621448
COAD,MKG,0.1735525871909229,0.1459157561720781
COAD,Uni-Cox,0.2887514389736516,0.18828960044893
COAD,CGBoost,0.1885442115397641,0.1682768675026837
COAD,CV-Cox-EN,0.448562136664994,0.3237892959366606
COAD,CV-Cox-Lasso,0.2516925812693378,0.0869101035601826
COAD,RSF,0.0599448885783396,0.0646027388847929
STAD,MKG,0.1826109169222513,0.1461412486674473
STAD,Uni-Cox,0.2190837902692684,0.1553616506080027
STAD,CGBoost,0.1697452522954965,0.1553847209773815
STAD,CV-Cox-EN,0.1639322607739364,0.1445322939861015
STAD,CV-Cox-Lasso,0.1515588396491954,0.1425940996731727
STAD,RSF,0.0639812196819216,0.0591623667743677
HNSC,MKG,0.3435615583047003,0.2348408403437519
HNSC,Uni-Cox,0.2295420223096538,0.2380253298701468
HNSC,CGBoost,0.2598224968254213,0.2141812988434318
HNSC,CV-Cox-EN,0.2781475765322856,0.2287298411450331
HNSC,CV-Cox-Lasso,0.2640558232275971,0.2204990644650517
HNSC,RSF,0.1593612614896548,0.1142333689524066
