metric,method,n_cancers,mean,median,sd_across_cancers
normalized_RBO20,MKG,6,0.24925391073326744,0.2411974400035948,0.06846627672474728
normalized_RBO20,Uni-Cox,6,0.2791556767960463,0.25914673064165267,0.06766223301977736
normalized_RBO20,CGBoost,6,0.2143508630219173,0.20466772959632115,0.039402233697759984
normalized_RBO20,CV-Cox-EN,6,0.2617892557154344,0.2413563752375212,0.10024324305714125
normalized_RBO20,CV-Cox-Lasso,6,0.19466314385889527,0.20480446547624004,0.06481003090988048
normalized_RBO20,RSF,6,0.09484909397723235,0.08788687687497565,0.0373414373336658
Jaccard,MKG,6,0.1864911404340556,0.19019331443789333,0.03566369734776967
Jaccard,Uni-Cox,6,0.22562587476662208,0.2280441350793056,0.04956250887029549
Jaccard,CGBoost,6,0.18129302768968356,0.1774311765529989,0.024433458235846344
Jaccard,CV-Cox-EN,6,0.20570596810893307,0.1883716883404269,0.06538497192698776
Jaccard,CV-Cox-Lasso,6,0.14185895705039095,0.14794858566989275,0.051902673315831115
Jaccard,RSF,6,0.08372471851896873,0.08674781362408135,0.019963268511522442
