Cancer,Method,Rank,Gene
LUAD,MKG,1,DKK1
LUAD,MKG,2,IRX5
LUAD,MKG,3,GLS2
LUAD,MKG,4,ERO1L
LUAD,MKG,5,PITX3
LUAD,MKG,6,PLEKHB1
LUAD,MKG,7,INPP5J
LUAD,MKG,8,DAAM2
LUAD,MKG,9,BZRAP1
LUAD,MKG,10,FAM83A
LUAD,MKG,11,CYP17A1
LUAD,MKG,12,GNMT
LUAD,MKG,13,LINGO2
LUAD,MKG,14,CLEC17A
LUAD,MKG,15,ZFP3
LUAD,MKG,16,GPR98
LUAD,MKG,17,DAPK2
LUAD,MKG,18,IGF2BP1
LUAD,MKG,19,PPP1R13B
LUAD,MKG,20,VAX1
LUAD,GR-SAFS_coexpr,1,DKK1
LUAD,GR-SAFS_coexpr,2,IRX5
LUAD,GR-SAFS_coexpr,3,GLS2
LUAD,GR-SAFS_coexpr,4,DAAM2
LUAD,GR-SAFS_coexpr,5,PITX3
LUAD,GR-SAFS_coexpr,6,CYP17A1
LUAD,GR-SAFS_coexpr,7,PLEKHB1
LUAD,GR-SAFS_coexpr,8,FAM83A
LUAD,GR-SAFS_coexpr,9,GNMT
LUAD,GR-SAFS_coexpr,10,INPP5J
LUAD,GR-SAFS_coexpr,11,GPR98
LUAD,GR-SAFS_coexpr,12,BZRAP1
LUAD,GR-SAFS_coexpr,13,IGF2BP1
LUAD,GR-SAFS_coexpr,14,ERO1L
LUAD,GR-SAFS_coexpr,15,ADH4
LUAD,GR-SAFS_coexpr,16,LINGO2
LUAD,GR-SAFS_coexpr,17,KSR2
LUAD,GR-SAFS_coexpr,18,VAX1
LUAD,GR-SAFS_coexpr,19,ZFP3
LUAD,GR-SAFS_coexpr,20,PPP1R13B
LUAD,MKG_equal,1,DKK1
LUAD,MKG_equal,2,IRX5
LUAD,MKG_equal,3,GLS2
LUAD,MKG_equal,4,PITX3
LUAD,MKG_equal,5,ERO1L
LUAD,MKG_equal,6,DAAM2
LUAD,MKG_equal,7,PLEKHB1
LUAD,MKG_equal,8,BZRAP1
LUAD,MKG_equal,9,FAM83A
LUAD,MKG_equal,10,INPP5J
LUAD,MKG_equal,11,CYP17A1
LUAD,MKG_equal,12,GNMT
LUAD,MKG_equal,13,GPR98
LUAD,MKG_equal,14,LINGO2
LUAD,MKG_equal,15,IGF2BP1
LUAD,MKG_equal,16,ZFP3
LUAD,MKG_equal,17,PPP1R13B
LUAD,MKG_equal,18,CLEC17A
LUAD,MKG_equal,19,VAX1
LUAD,MKG_equal,20,DAPK2
LUAD,Cox-Lasso,1,LGALS9B
LUAD,Cox-Lasso,2,CYP17A1
LUAD,Cox-Lasso,3,C20orf202
LUAD,Cox-Lasso,4,ZNF233
LUAD,Cox-Lasso,5,ACVR1C
LUAD,Cox-Lasso,6,ARG2
LUAD,Cox-Lasso,7,CCL20
LUAD,Cox-Lasso,8,CALML5
LUAD,Cox-Lasso,9,SNTG2
LUAD,Cox-Lasso,10,PHOX2A
